,x,y
0,238,213
1,241,209
2,246,207
3,250,209
4,255,207
5,264,209
6,274,214
7,264,219
8,256,220
9,251,220
10,246,219
11,242,217
12,241,213
13,246,212
14,250,212
15,255,212
16,270,213
17,255,215
18,250,214
19,246,214
20,237,212
21,240,209
22,245,207
23,249,209
24,254,207
25,263,209
26,273,213
27,263,218
28,254,220
29,249,220
30,245,220
31,241,217
32,240,213
33,245,212
34,249,212
35,254,212
36,269,213
37,254,214
38,249,214
39,245,213
40,235,213
41,239,210
42,245,208
43,249,209
44,253,208
45,262,209
46,272,214
47,262,218
48,254,220
49,249,220
50,245,219
51,240,217
52,238,213
53,245,213
54,249,213
55,253,213
56,269,213
57,253,214
58,249,214
59,244,214
60,235,213
61,239,210
62,245,208
63,249,209
64,253,208
65,262,209
66,272,214
67,262,218
68,254,220
69,249,220
70,245,219
71,240,217
72,238,213
73,245,213
74,249,213
75,253,213
76,269,213
77,253,214
78,249,214
79,244,214
80,234,213
81,239,210
82,244,208
83,249,209
84,253,208
85,261,210
86,271,214
87,261,218
88,254,220
89,249,220
90,244,220
91,239,218
92,237,213
93,244,213
94,249,213
95,253,213
96,267,214
97,253,214
98,249,214
99,244,213
100,232,214
101,238,211
102,244,208
103,249,209
104,254,208
105,261,210
106,269,214
107,261,218
108,254,220
109,249,220
110,243,220
111,238,218
112,235,214
113,244,213
114,249,213
115,254,213
116,266,214
117,254,214
118,249,214
119,244,213
120,230,215
121,238,211
122,244,208
123,249,209
124,254,208
125,261,210
126,269,214
127,261,218
128,255,219
129,249,219
130,244,219
131,238,218
132,233,215
133,244,213
134,249,214
135,254,213
136,265,214
137,254,213
138,249,213
139,244,213
140,230,215
141,238,211
142,244,208
143,249,209
144,254,208
145,261,211
146,269,215
147,262,218
148,255,220
149,249,220
150,244,219
151,238,218
152,234,215
153,244,213
154,249,214
155,254,213
156,266,214
157,254,214
158,249,214
159,244,213
160,230,215
161,238,211
162,244,208
163,249,209
164,254,208
165,261,211
166,269,215
167,262,218
168,255,220
169,249,220
