,x,y
0,228,226
1,235,223
2,240,221
3,244,222
4,248,221
5,254,223
6,261,225
7,254,229
8,248,230
9,244,231
10,239,230
11,234,229
12,231,226
13,240,225
14,244,225
15,248,225
16,258,225
17,248,225
18,244,225
19,240,225
20,229,226
21,235,223
22,240,221
23,245,222
24,249,221
25,254,223
26,261,225
27,254,229
28,249,231
29,244,231
30,240,230
31,235,229
32,232,226
33,240,224
34,244,225
35,248,225
36,258,225
37,249,225
38,244,225
39,240,225
40,228,226
41,235,223
42,240,220
43,244,222
44,248,220
45,254,223
46,261,225
47,254,229
48,249,230
49,244,231
50,240,230
51,234,229
52,231,226
53,240,225
54,244,225
55,248,225
56,258,225
57,248,225
58,244,225
59,240,225
60,229,226
61,235,223
62,240,221
63,245,222
64,249,221
65,255,223
66,261,225
67,255,229
68,249,231
69,244,231
70,240,230
71,235,229
72,232,226
73,240,225
74,244,225
75,249,225
76,259,226
77,249,225
78,244,226
79,240,225
80,229,225
81,235,223
82,240,221
83,244,222
84,249,221
85,255,223
86,262,225
87,255,229
88,249,230
89,244,231
90,240,230
91,235,229
92,232,225
93,240,225
94,244,225
95,249,225
96,259,225
97,249,225
98,244,225
99,240,224
100,228,226
101,235,223
102,241,220
103,245,222
104,249,221
105,254,223
106,261,225
107,254,229
108,249,230
109,244,231
110,240,230
111,235,229
112,231,226
113,240,224
114,245,225
115,249,225
116,258,225
117,249,225
118,245,225
119,240,225
120,229,226
121,235,223
122,241,220
123,245,221
124,249,220
125,255,222
126,262,226
127,255,231
128,249,233
129,245,234
130,240,233
131,235,231
132,232,226
133,241,225
134,245,225
135,249,225
136,258,226
137,249,228
138,245,228
139,241,227
140,227,226
141,234,222
142,240,219
143,245,220
144,250,219
145,258,221
146,265,224
147,258,233
148,251,237
149,245,238
150,240,237
151,233,234
152,230,226
153,240,223
154,245,224
155,250,223
156,262,225
157,250,230
158,245,231
159,240,231
160,227,226
161,234,224
162,240,221
163,245,222
164,249,221
165,256,223
166,264,226
167,257,234
168,250,237
169,245,237
170,239,236
171,234,234
172,230,227
173,240,226
174,244,226
175,249,226
176,261,226
177,250,230
178,244,230
179,240,230
180,228,225
181,234,224
182,240,222
183,244,223
184,248,222
185,254,223
186,261,224
187,254,230
188,248,232
189,243,232
190,239,231
191,234,229
192,231,225
193,240,226
194,244,226
195,248,226
196,258,225
197,248,227
198,243,227
199,240,227
200,229,225
201,235,222
202,240,219
203,244,220
204,249,219
205,255,222
206,262,225
207,256,230
208,250,233
209,244,233
210,240,232
211,235,230
212,232,225
213,240,224
214,244,224
215,249,224
216,259,225
217,249,227
218,244,227
219,240,226
220,230,225
221,234,220
222,239,217
223,244,218
224,248,217
225,255,220
226,262,225
227,255,230
228,249,232
229,244,233
230,239,232
231,234,229
232,233,224
233,239,222
234,244,222
235,248,222
236,259,224
237,248,226
238,243,227
239,239,226
240,230,226
241,235,220
242,240,217
243,244,218
244,249,217
245,255,220
246,262,225
247,256,231
248,250,234
249,244,234
250,239,234
251,234,231
252,234,225
253,240,223
254,244,223
255,249,223
256,258,225
257,249,227
258,244,227
259,240,226
260,231,226
261,235,221
262,240,218
263,245,219
264,249,218
265,255,221
266,261,225
267,255,232
268,249,234
269,244,235
270,240,234
271,235,231
272,234,225
273,240,223
274,244,224
275,249,223
276,258,225
277,249,227
278,244,228
279,240,227
280,231,226
281,236,222
282,241,218
283,245,220
284,249,219
285,255,222
286,261,225
287,255,231
288,250,234
289,245,234
290,240,234
291,235,231
292,234,226
293,241,224
294,245,224
295,249,224
296,258,226
297,249,227
298,245,227
299,241,227
300,229,225
301,236,222
302,241,220
303,245,222
304,249,221
305,255,223
306,262,225
307,255,229
308,249,230
309,245,230
310,240,229
311,235,228
312,232,225
313,241,224
314,245,225
315,249,225
316,259,225
317,249,225
318,245,225
319,241,225
320,229,224
321,236,223
322,241,221
323,245,222
324,249,221
325,255,222
326,262,224
327,255,228
328,249,230
329,245,230
330,241,230
331,236,228
332,232,224
333,241,224
334,245,225
335,249,224
336,259,224
337,249,225
338,245,225
339,241,225
