,x,y
0,230,243
1,237,241
2,243,240
3,246,241
4,250,240
5,255,242
6,262,243
7,255,247
8,250,248
9,245,248
10,242,248
11,237,246
12,233,243
13,242,243
14,246,244
15,250,244
16,260,243
17,249,243
18,246,244
19,242,243
20,231,243
21,237,241
22,242,239
23,246,241
24,250,239
25,255,241
26,263,243
27,256,247
28,250,248
29,246,249
30,241,248
31,237,246
32,234,243
33,242,243
34,246,243
35,250,243
36,260,243
37,250,243
38,246,243
39,242,243
40,230,243
41,237,241
42,242,240
43,246,241
44,249,240
45,255,241
46,262,243
47,255,247
48,249,248
49,245,248
50,241,248
51,236,246
52,233,243
53,242,243
54,245,244
55,249,243
56,259,243
57,249,243
58,245,243
59,242,243
60,231,243
61,237,241
62,241,240
63,245,241
64,249,240
65,255,241
66,262,243
67,255,246
68,249,248
69,245,248
70,241,248
71,236,246
72,233,243
73,242,243
74,245,243
75,249,243
76,260,243
77,249,243
78,245,244
79,241,243
80,230,242
81,237,241
82,242,239
83,245,240
84,249,239
85,255,241
86,262,243
87,255,246
88,249,248
89,245,248
90,241,247
91,236,246
92,233,242
93,242,242
94,245,243
95,249,243
96,259,243
97,249,243
98,245,243
99,241,243
100,229,243
101,235,240
102,241,238
103,245,239
104,250,238
105,256,240
106,263,242
107,256,248
108,250,251
109,245,251
110,240,251
111,235,248
112,232,243
113,241,242
114,245,242
115,250,242
116,260,243
117,250,245
118,245,245
119,241,245
120,228,241
121,235,239
122,241,236
123,246,237
124,251,236
125,258,238
126,265,240
127,258,248
128,251,252
129,246,252
130,240,252
131,235,249
132,231,242
133,241,240
134,246,241
135,251,240
136,262,241
137,251,245
138,245,246
139,241,245
140,228,240
141,235,238
142,241,236
143,246,237
144,251,236
145,258,237
146,265,239
147,258,248
148,251,252
149,246,252
150,241,251
151,235,248
152,231,241
153,241,240
154,246,240
155,251,240
156,262,240
157,251,245
158,246,246
159,241,245
160,229,241
161,235,238
162,241,236
163,246,237
164,251,236
165,259,238
166,266,240
167,259,249
168,252,253
169,246,253
170,241,253
171,235,249
172,232,241
173,241,240
174,246,240
175,251,240
176,263,241
177,251,246
178,246,247
179,241,246
180,230,242
181,236,239
182,242,236
183,246,237
184,251,236
185,259,238
186,266,241
187,259,251
188,252,255
189,246,256
190,241,255
191,236,251
192,233,243
193,242,240
194,246,241
195,251,240
196,263,241
197,252,249
198,246,249
199,242,249
200,231,241
201,237,240
202,242,239
203,246,240
204,249,239
205,255,240
206,262,242
207,255,247
208,250,249
209,246,249
210,242,248
211,237,246
212,233,242
213,242,242
214,245,243
215,249,243
216,260,242
217,249,244
218,245,244
219,242,244
220,230,241
221,237,239
222,242,238
223,246,239
224,250,238
225,257,239
226,264,241
227,257,245
228,251,248
229,246,248
230,242,247
231,237,245
232,233,241
233,242,242
234,246,242
235,250,242
236,261,241
237,250,243
238,246,243
239,242,242
240,230,241
241,236,238
242,241,236
243,246,237
244,251,236
245,257,238
246,263,241
247,257,247
248,251,250
249,245,250
250,241,250
251,236,247
252,233,241
253,241,239
254,246,240
255,250,239
256,260,241
257,250,244
258,245,244
259,241,244
260,230,241
261,237,238
262,242,236
263,246,237
264,250,236
265,256,238
266,263,240
267,257,246
268,251,249
269,246,249
270,242,248
271,236,246
272,233,241
273,242,240
274,246,240
275,250,240
276,260,241
277,250,243
278,246,243
279,242,242
280,231,240
281,237,238
282,242,236
283,246,237
284,250,236
285,256,238
286,263,240
287,256,246
288,251,248
289,246,248
290,242,248
291,237,245
292,234,241
293,242,240
294,246,241
295,250,240
296,261,241
297,250,242
298,246,243
299,242,242
300,231,241
301,237,239
302,242,237
303,246,238
304,250,237
305,256,239
306,263,241
307,256,245
308,250,246
309,246,246
310,242,246
311,237,244
312,233,241
313,242,241
314,246,241
315,250,241
316,260,241
317,250,242
318,246,242
319,242,241
320,231,240
321,237,239
322,242,237
323,246,238
324,250,237
325,256,239
326,264,240
327,257,244
328,250,246
329,246,246
330,242,245
331,237,244
332,233,240
333,242,241
334,246,241
335,250,241
336,261,241
337,250,241
338,245,241
339,242,241
