,x,y
0,232,242
1,238,240
2,243,238
3,247,239
4,250,238
5,255,240
6,262,242
7,256,245
8,251,247
9,247,247
10,242,247
11,238,245
12,235,242
13,243,242
14,247,242
15,250,242
16,260,242
17,250,242
18,247,242
19,243,242
20,233,242
21,238,240
22,243,238
23,247,239
24,250,238
25,255,240
26,262,241
27,256,245
28,251,247
29,247,247
30,243,247
31,238,245
32,235,242
33,243,241
34,247,242
35,250,241
36,260,242
37,250,242
38,247,242
39,243,242
40,232,242
41,238,240
42,242,238
43,246,239
44,250,238
45,256,240
46,263,241
47,256,245
48,251,247
49,246,247
50,242,247
51,237,245
52,235,242
53,242,242
54,246,242
55,250,242
56,260,242
57,250,242
58,246,242
59,242,242
60,232,242
61,238,240
62,242,238
63,246,239
64,250,238
65,256,239
66,263,241
67,256,245
68,251,247
69,247,247
70,242,247
71,238,245
72,235,242
73,243,242
74,246,242
75,250,242
76,260,241
77,250,242
78,247,242
79,243,242
80,232,242
81,238,240
82,243,238
83,246,239
84,250,238
85,255,239
86,263,241
87,256,245
88,251,247
89,246,247
90,242,247
91,238,245
92,235,242
93,242,242
94,246,242
95,250,242
96,260,241
97,250,242
98,246,242
99,243,242
100,232,242
101,237,240
102,242,237
103,247,238
104,251,237
105,257,239
106,264,241
107,258,247
108,252,250
109,247,251
110,242,250
111,237,248
112,235,243
113,242,242
114,247,242
115,251,242
116,261,242
117,251,244
118,247,244
119,242,244
120,230,242
121,236,239
122,241,236
123,246,237
124,251,236
125,258,237
126,265,240
127,259,248
128,252,251
129,247,252
130,242,252
131,236,249
132,233,242
133,242,241
134,246,241
135,251,240
136,263,241
137,251,245
138,246,246
139,242,245
140,231,242
141,236,239
142,242,236
143,247,237
144,252,236
145,258,237
146,265,240
147,259,248
148,252,252
149,247,253
150,242,252
151,236,249
152,234,242
153,242,240
154,247,241
155,252,240
156,263,241
157,252,246
158,247,246
159,242,246
160,232,242
161,237,239
162,243,237
163,247,238
164,251,237
165,258,238
166,265,241
167,259,248
168,252,251
169,247,252
170,243,252
171,237,249
172,235,243
173,243,241
174,247,242
175,251,241
176,262,241
177,252,245
178,247,246
179,243,245
180,232,241
181,238,240
182,243,238
183,247,239
184,250,238
185,256,239
186,264,240
187,257,245
188,251,247
189,247,248
190,243,247
191,238,246
192,235,242
193,243,242
194,247,242
195,250,242
196,261,240
197,251,243
198,247,243
199,243,243
200,232,241
201,238,239
202,243,238
203,247,239
204,250,237
205,256,238
206,263,240
207,256,244
208,251,245
209,247,246
210,243,245
211,238,244
212,235,241
213,243,241
214,247,241
215,250,241
216,261,240
217,251,241
218,247,242
219,243,241
220,232,241
221,238,239
222,243,238
223,247,239
224,251,237
225,256,238
226,264,240
227,257,244
228,251,245
229,247,246
230,243,246
231,238,244
232,234,241
233,243,241
234,247,241
235,251,241
236,261,240
237,251,241
238,247,241
239,243,241
240,232,241
241,237,238
242,242,236
243,247,237
244,251,236
245,257,237
246,264,240
247,258,245
248,252,248
249,247,249
250,242,248
251,237,246
252,234,241
253,242,240
254,247,240
255,251,239
256,261,240
257,251,243
258,247,243
259,242,243
260,231,241
261,237,238
262,242,235
263,247,236
264,251,235
265,257,237
266,264,239
267,258,245
268,252,248
269,247,248
270,242,248
271,237,246
272,234,241
273,242,239
274,247,240
275,251,239
276,261,240
277,251,242
278,247,243
279,242,242
