,x,y
0,222,222
1,229,219
2,235,217
3,240,218
4,245,216
5,251,218
6,260,221
7,252,226
8,246,227
9,241,228
10,235,227
11,229,226
12,226,222
13,235,221
14,240,222
15,245,221
16,256,221
17,245,221
18,240,222
19,235,221
20,222,222
21,229,219
22,235,217
23,240,218
24,245,217
25,251,218
26,260,221
27,252,226
28,246,227
29,241,228
30,235,227
31,229,225
32,226,222
33,235,221
34,240,222
35,245,221
36,256,221
37,245,221
38,240,221
39,235,221
40,222,221
41,229,219
42,235,216
43,240,218
44,245,216
45,251,218
46,259,221
47,251,225
48,245,227
49,240,227
50,235,227
51,229,225
52,226,221
53,235,221
54,240,221
55,245,221
56,255,221
57,245,221
58,240,221
59,235,221
60,222,221
61,229,219
62,235,216
63,240,217
64,245,216
65,251,218
66,260,221
67,252,226
68,246,228
69,241,228
70,235,227
71,229,225
72,226,221
73,235,221
74,240,221
75,245,221
76,256,221
77,245,221
78,240,221
79,235,221
80,222,221
81,229,219
82,235,216
83,240,218
84,245,216
85,252,218
86,260,221
87,252,225
88,246,227
89,241,227
90,235,227
91,229,225
92,225,221
93,235,221
94,240,221
95,245,221
96,256,221
97,245,221
98,240,221
99,235,221
100,222,220
101,229,218
102,235,216
103,241,217
104,246,215
105,253,217
106,261,220
107,254,226
108,246,230
109,241,230
110,235,230
111,229,227
112,225,221
113,235,220
114,241,221
115,246,220
116,258,220
117,246,223
118,241,224
119,235,223
120,219,219
121,226,215
122,234,212
123,240,214
124,246,212
125,255,214
126,263,218
127,256,229
128,247,234
129,241,234
130,234,234
131,226,230
132,222,219
133,234,217
134,240,217
135,246,217
136,260,218
137,247,226
138,241,227
139,234,226
140,218,218
141,225,214
142,233,212
143,240,213
144,246,211
145,255,213
146,264,217
147,256,230
148,247,235
149,241,236
150,233,235
151,225,230
152,222,219
153,233,216
154,240,217
155,246,216
156,261,218
157,247,228
158,240,228
159,233,228
160,221,221
161,228,217
162,235,214
163,240,215
164,245,214
165,253,216
166,262,219
167,254,229
168,247,232
169,241,232
170,235,232
171,228,229
172,224,221
173,235,219
174,240,219
175,246,219
176,259,220
177,246,225
178,240,226
179,235,226
180,222,220
181,229,218
182,235,216
183,240,217
184,245,216
185,251,218
186,260,220
187,252,226
188,245,228
189,240,228
190,235,228
191,229,225
192,225,220
193,235,220
194,240,221
195,245,220
196,257,220
197,245,222
198,240,223
199,235,222
200,224,220
201,231,218
202,237,216
203,241,217
204,245,216
205,251,217
206,259,220
207,251,225
208,245,226
209,241,227
210,236,226
211,231,225
212,227,220
213,237,220
214,241,221
215,245,220
216,256,220
217,245,221
218,241,221
219,237,221
220,227,224
221,232,217
222,237,213
223,241,214
224,244,213
225,251,216
226,256,222
227,251,229
228,245,231
229,240,231
230,236,231
231,231,229
232,230,223
233,237,219
234,241,219
235,244,219
236,253,222
237,244,223
238,241,223
239,237,223
240,227,223
241,232,216
242,237,211
243,241,212
244,244,211
245,250,215
246,256,223
247,250,229
248,244,232
249,240,232
250,236,231
251,231,229
252,231,222
253,237,217
254,240,218
255,244,218
256,252,222
257,244,224
258,240,224
259,236,223
260,226,221
261,230,214
262,236,210
263,240,211
264,245,210
265,251,214
266,257,222
267,251,227
268,244,229
269,239,230
270,234,229
271,230,226
272,229,220
273,236,216
274,240,217
275,244,217
276,253,221
277,244,222
278,239,222
279,235,221
280,224,220
281,230,213
282,235,210
283,241,211
284,246,210
285,253,213
286,260,220
287,253,226
288,246,229
289,240,229
290,235,228
291,229,225
292,227,219
293,235,214
294,241,215
295,246,215
296,257,220
297,246,222
298,240,222
299,235,221
300,222,219
301,230,215
302,236,212
303,242,213
304,247,211
305,254,214
306,263,218
307,255,224
308,248,227
309,242,227
310,236,227
311,230,225
312,226,219
313,236,216
314,242,216
315,247,216
316,260,218
317,247,220
318,242,220
319,236,220
320,222,219
321,230,214
322,236,212
323,242,213
324,247,211
325,255,213
326,264,217
327,256,224
328,248,227
329,242,227
330,236,227
331,230,225
332,226,219
333,236,216
334,242,216
335,247,216
336,261,217
337,248,220
338,242,220
339,236,220
340,222,218
341,229,215
342,236,212
343,242,213
344,247,212
345,255,214
346,265,216
347,256,224
348,248,227
349,242,228
350,236,227
351,229,225
352,225,218
353,236,216
354,242,216
355,247,216
356,261,217
357,247,221
358,242,221
359,236,221
360,221,217
361,228,214
362,235,212
363,241,213
364,247,212
365,255,213
366,265,216
367,256,223
368,247,225
369,241,226
370,235,225
371,228,223
372,224,217
373,235,216
374,241,216
375,247,215
376,261,216
377,247,220
378,241,220
379,235,220
380,222,217
381,229,215
382,235,213
383,241,214
384,246,212
385,254,214
386,263,217
387,255,224
388,247,226
389,241,226
390,236,225
391,229,223
392,225,218
393,236,217
394,241,217
395,246,216
396,260,217
397,247,220
398,241,221
399,236,220
400,223,218
401,230,216
402,236,214
403,241,215
404,245,214
405,251,215
406,258,218
407,251,221
408,245,223
409,241,223
410,236,223
411,230,221
412,226,218
413,236,218
414,240,218
415,245,218
416,256,218
417,245,218
418,241,218
419,236,218
420,222,218
421,230,216
422,236,214
423,241,215
424,245,214
425,251,215
426,259,218
427,251,222
428,245,223
429,240,223
430,235,223
431,230,221
432,225,218
433,236,218
434,241,218
435,245,218
436,256,218
437,245,218
438,240,218
439,236,218
