,x,y
0,227,236
1,233,234
2,237,232
3,241,233
4,245,232
5,250,233
6,257,236
7,250,240
8,245,242
9,240,242
10,236,242
11,232,240
12,230,236
13,237,235
14,241,236
15,245,236
16,254,236
17,245,236
18,240,236
19,237,236
20,227,236
21,232,234
22,237,232
23,241,233
24,245,232
25,251,233
26,258,236
27,251,239
28,246,241
29,241,242
30,237,241
31,232,240
32,230,236
33,237,235
34,241,236
35,245,235
36,255,236
37,245,236
38,241,236
39,237,236
40,227,236
41,232,234
42,237,232
43,241,233
44,245,232
45,251,234
46,258,236
47,251,240
48,245,242
49,241,242
50,236,242
51,232,240
52,230,237
53,237,236
54,241,236
55,245,236
56,255,236
57,245,236
58,241,236
59,237,236
60,227,236
61,232,234
62,237,232
63,241,233
64,245,232
65,250,233
66,257,236
67,250,239
68,245,241
69,241,241
70,236,241
71,232,239
72,230,236
73,237,235
74,241,236
75,245,235
76,254,236
77,245,236
78,241,236
79,237,236
80,227,236
81,233,233
82,237,231
83,241,233
84,245,231
85,251,233
86,257,236
87,251,240
88,245,241
89,241,241
90,237,241
91,232,240
92,230,236
93,237,235
94,241,236
95,245,235
96,255,236
97,245,236
98,241,236
99,237,235
100,228,236
101,233,234
102,238,232
103,241,233
104,245,232
105,251,234
106,258,236
107,251,240
108,245,242
109,241,242
110,237,242
111,233,240
112,230,236
113,238,236
114,241,236
115,245,236
116,255,236
117,245,236
118,241,236
119,238,236
120,228,236
121,233,233
122,238,231
123,242,232
124,246,231
125,251,233
126,258,235
127,251,239
128,245,241
129,241,241
130,237,241
131,233,239
132,231,236
133,238,235
134,242,236
135,246,235
136,255,236
137,245,235
138,241,236
139,238,235
140,229,235
141,234,233
142,238,231
143,242,232
144,246,231
145,251,233
146,257,235
147,251,240
148,246,241
149,241,241
150,237,241
151,233,240
152,232,236
153,238,235
154,242,235
155,246,235
156,255,235
157,245,235
158,241,236
159,238,235
160,230,237
161,233,231
162,237,228
163,241,230
164,245,228
165,250,232
166,256,237
167,250,243
168,244,245
169,240,245
170,236,245
171,232,242
172,233,236
173,237,233
174,241,234
175,244,234
176,253,237
177,244,239
178,240,239
179,237,238
180,229,236
181,233,231
182,237,228
183,241,230
184,245,229
185,251,232
186,257,237
187,251,243
188,245,245
189,241,246
190,236,245
191,232,242
192,232,236
193,237,234
194,241,234
195,245,234
196,254,236
197,245,239
198,241,239
199,237,238
200,228,236
201,233,232
202,237,229
203,242,230
204,246,229
205,252,232
206,259,236
207,252,241
208,246,243
209,241,243
210,237,243
211,233,241
212,231,236
213,237,234
214,242,235
215,246,234
216,255,236
217,246,237
218,241,237
219,237,237
220,228,236
221,233,232
222,238,229
223,242,230
224,246,229
225,252,232
226,259,235
227,253,241
228,247,243
229,242,243
230,238,243
231,233,241
232,231,236
233,238,234
234,242,235
235,246,234
236,256,235
237,246,236
238,242,236
239,238,236
240,228,235
241,233,232
242,238,230
243,242,231
244,246,229
245,252,232
246,259,235
247,253,240
248,247,242
249,242,243
250,238,242
251,233,240
252,231,235
253,238,234
254,242,234
255,246,234
256,256,235
257,246,236
258,242,236
259,238,236
260,228,235
261,233,232
262,238,230
263,242,231
264,246,230
265,252,232
266,260,235
267,253,240
268,247,242
269,242,242
270,238,242
271,233,240
272,231,235
273,238,233
274,242,234
275,246,234
276,256,235
277,246,236
278,242,237
279,238,236
280,228,235
281,233,232
282,238,230
283,242,231
284,246,230
285,252,232
286,259,234
287,252,239
288,247,241
289,242,241
290,238,241
291,233,239
292,231,235
293,238,233
294,242,234
295,246,233
296,256,234
297,246,235
298,242,236
299,238,235
300,228,235
301,233,232
302,237,230
303,241,231
304,246,229
305,252,231
306,259,234
307,252,239
308,246,241
309,242,241
310,237,241
311,233,239
312,231,234
313,237,233
314,241,234
315,246,233
316,256,234
317,246,236
318,242,236
319,238,235
