,x,y
0,219,248
1,224,245
2,228,243
3,232,244
4,235,243
5,242,245
6,249,247
7,242,253
8,236,255
9,232,255
10,228,254
11,223,252
12,222,248
13,228,246
14,232,246
15,235,246
16,246,248
17,236,250
18,232,250
19,228,249
20,218,248
21,223,245
22,228,243
23,232,244
24,236,243
25,242,245
26,249,247
27,242,253
28,236,254
29,232,255
30,228,254
31,223,252
32,221,248
33,228,246
34,232,247
35,236,246
36,246,248
37,236,249
38,232,250
39,228,249
40,218,247
41,223,245
42,228,243
43,232,244
44,236,243
45,242,245
46,248,247
47,242,252
48,236,254
49,232,254
50,227,254
51,223,252
52,221,247
53,228,246
54,232,246
55,236,246
56,246,247
57,236,249
58,232,249
59,228,249
60,218,247
61,223,245
62,228,243
63,232,244
64,235,243
65,241,245
66,249,247
67,242,253
68,236,254
69,232,255
70,228,254
71,223,252
72,221,247
73,228,246
74,232,247
75,235,246
76,246,248
77,236,249
78,232,249
79,228,249
80,218,247
81,223,245
82,228,243
83,232,244
84,236,243
85,242,245
86,249,247
87,242,253
88,236,254
89,232,254
90,228,254
91,223,252
92,221,247
93,228,246
94,232,247
95,236,247
96,247,247
97,236,249
98,232,249
99,228,249
100,219,247
101,224,245
102,228,243
103,232,244
104,236,243
105,242,245
106,249,247
107,242,253
108,236,254
109,232,255
110,228,254
111,223,252
112,221,248
113,228,246
114,232,247
115,236,247
116,246,247
117,236,249
118,232,250
119,228,249
120,219,247
121,223,245
122,228,243
123,232,244
124,236,243
125,242,245
126,249,247
127,242,252
128,236,254
129,232,255
130,228,254
131,223,252
132,221,247
133,228,246
134,232,247
135,236,246
136,246,247
137,236,249
138,232,249
139,228,249
140,219,247
141,224,245
142,228,243
143,232,244
144,236,243
145,242,245
146,249,247
147,242,252
148,236,254
149,232,254
150,228,253
151,224,252
152,221,247
153,228,246
154,232,246
155,236,246
156,246,247
157,236,249
158,232,249
159,228,249
160,219,248
161,224,245
162,229,243
163,232,244
164,236,243
165,242,245
166,249,247
167,242,252
168,236,254
169,232,254
170,228,254
171,224,252
172,222,248
173,229,246
174,232,246
175,236,246
176,246,247
177,236,249
