,x,y
0,221,234
1,226,231
2,230,228
3,234,229
4,238,228
5,244,231
6,250,234
7,244,238
8,238,239
9,234,239
10,230,239
11,226,238
12,224,234
13,230,233
14,234,233
15,238,233
16,247,234
17,238,234
18,234,234
19,230,234
20,221,234
21,226,231
22,231,228
23,234,229
24,238,228
25,243,231
26,250,234
27,244,238
28,238,239
29,234,239
30,230,239
31,227,238
32,224,234
33,231,232
34,234,233
35,238,232
36,247,234
37,238,234
38,234,234
39,231,234
40,221,234
41,226,231
42,231,229
43,234,229
44,238,228
45,244,231
46,250,234
47,244,238
48,239,239
49,235,239
50,231,239
51,226,238
52,224,234
53,231,232
54,234,232
55,238,232
56,248,234
57,238,234
58,234,234
59,231,234
60,221,234
61,226,231
62,231,229
63,235,230
64,238,229
65,243,231
66,249,234
67,243,238
68,238,239
69,234,239
70,230,239
71,226,238
72,224,234
73,231,232
74,234,233
75,238,232
76,247,234
77,238,234
78,234,234
79,231,234
80,221,234
81,227,231
82,231,229
83,235,230
84,238,228
85,244,231
86,250,234
87,244,238
88,239,239
89,235,239
90,231,239
91,227,238
92,224,234
93,231,232
94,234,233
95,238,232
96,247,234
97,238,234
98,235,234
99,231,234
100,221,234
101,226,231
102,231,228
103,235,230
104,238,228
105,244,231
106,250,234
107,244,238
108,239,239
109,235,239
110,231,239
111,226,238
112,224,234
113,231,232
114,235,233
115,238,232
116,248,234
117,238,234
118,235,234
119,231,234
120,221,234
121,227,231
122,231,228
123,235,229
124,238,228
125,244,231
126,250,234
127,244,238
128,239,239
129,235,239
130,231,239
131,227,238
132,224,234
133,231,232
134,235,232
135,238,232
136,248,234
137,239,234
138,235,234
139,231,234
140,222,234
141,227,231
142,232,228
143,235,229
144,239,228
145,244,231
146,251,234
147,245,238
148,239,239
149,235,239
150,231,239
151,227,238
152,225,234
153,232,232
154,235,232
155,239,232
156,248,234
157,239,234
158,235,234
159,232,234
160,222,234
161,227,231
162,231,229
163,235,230
164,238,228
165,244,231
166,251,234
167,245,238
168,239,240
169,235,240
170,231,240
171,227,238
172,225,234
173,231,232
174,235,233
175,238,232
176,248,234
177,239,234
178,235,235
179,232,235
180,221,234
181,226,231
182,231,228
183,235,229
184,239,228
185,244,230
186,250,234
187,244,239
188,239,240
189,235,241
190,231,240
191,226,238
192,224,234
193,231,232
194,235,232
195,238,232
196,247,234
197,239,235
198,235,235
199,231,235
200,220,233
201,226,230
202,231,228
203,235,229
204,239,228
205,245,230
206,251,233
207,245,238
208,239,241
209,235,241
210,231,240
211,226,239
212,223,233
213,231,232
214,235,232
215,239,232
216,249,233
217,239,235
218,235,235
219,231,235
220,220,232
221,226,230
222,231,228
223,235,228
224,239,227
225,246,229
226,253,232
227,246,238
228,240,241
229,235,242
230,231,241
231,226,239
232,223,233
233,231,231
234,235,231
235,239,230
236,251,232
237,239,235
238,235,236
239,231,236
240,220,232
241,226,229
242,231,227
243,236,228
244,240,226
245,246,228
246,254,231
247,247,238
248,240,241
249,236,242
250,231,242
251,226,239
252,223,233
253,231,230
254,236,230
255,240,230
256,251,232
257,240,236
258,235,236
259,231,236
260,220,233
261,226,229
262,232,226
263,236,227
264,240,226
265,247,228
266,253,233
267,247,241
268,241,244
269,236,244
270,231,244
271,226,241
272,223,233
273,232,229
274,236,229
275,240,229
276,250,233
277,240,238
278,236,238
279,232,238
280,222,233
281,226,229
282,231,226
283,236,227
284,240,225
285,247,228
286,254,232
287,247,239
288,241,242
289,236,242
290,231,242
291,226,240
292,224,233
293,232,229
294,236,229
295,240,229
296,251,232
297,241,236
298,236,237
299,231,236
300,223,232
301,227,227
302,231,224
303,236,225
304,240,224
305,246,226
306,253,231
307,246,236
308,241,238
309,236,238
310,231,238
311,227,236
312,226,231
313,231,228
314,236,228
315,240,228
316,250,231
317,240,233
318,236,233
319,231,233
320,223,232
321,226,227
322,231,224
323,236,225
324,240,224
325,246,226
326,253,231
327,247,236
328,241,238
329,236,239
330,231,238
331,226,236
332,225,231
333,231,228
334,236,228
335,240,228
336,250,231
337,240,233
338,236,233
339,231,233
340,223,231
341,227,226
342,231,224
343,236,225
344,240,224
345,246,226
346,253,232
347,246,236
348,240,239
349,236,239
350,231,238
351,227,236
352,226,231
353,231,228
354,236,228
355,240,228
356,250,231
357,240,233
358,235,233
359,231,233
360,223,232
361,227,227
362,232,224
363,236,225
364,240,224
365,246,227
366,253,232
367,246,238
368,240,240
369,236,240
370,231,240
371,227,237
372,226,232
373,232,228
374,236,229
375,240,229
376,250,232
377,240,234
378,236,234
379,231,234
380,224,233
381,227,228
382,232,225
383,236,226
384,240,225
385,246,228
386,252,233
387,246,238
388,240,240
389,235,240
390,231,239
391,227,237
392,227,232
393,232,229
394,236,229
395,240,229
396,249,232
397,240,234
398,235,235
399,231,234
400,224,232
401,228,227
402,232,225
403,236,226
404,240,225
405,245,228
406,252,233
407,245,238
408,239,240
409,235,240
410,231,239
411,227,237
412,227,231
413,232,228
414,236,229
415,240,229
416,249,232
417,239,235
418,235,235
419,231,234
420,225,232
421,228,228
422,232,225
423,236,227
424,240,226
425,246,228
426,252,233
427,245,238
428,240,240
429,235,240
430,231,240
431,227,237
432,227,232
433,232,229
434,236,230
435,240,230
436,250,233
437,240,235
438,235,235
439,232,235
440,224,233
441,227,228
442,232,226
443,235,227
444,240,226
445,246,228
446,253,233
447,246,238
448,240,240
449,235,240
450,231,239
451,227,237
452,227,232
453,232,230
454,235,230
455,240,230
456,250,233
457,239,234
458,235,234
459,231,234
460,224,233
461,228,229
462,232,226
463,236,227
464,240,226
465,246,229
466,253,233
467,246,237
468,240,239
469,236,239
470,232,239
471,228,237
472,227,232
473,232,230
474,236,231
475,240,231
476,250,233
477,240,234
478,236,234
479,232,233
480,223,233
481,227,230
482,232,227
483,236,228
484,240,227
485,246,229
486,253,233
487,246,237
488,240,239
489,236,239
490,231,239
491,227,237
492,226,233
493,232,232
494,236,232
495,240,232
496,250,233
497,240,233
498,236,233
499,232,233
500,223,233
501,228,230
502,232,227
503,236,228
504,239,227
505,246,229
506,254,233
507,246,237
508,240,238
509,236,238
510,232,238
511,228,236
512,226,233
513,232,231
514,236,232
515,240,232
516,251,233
517,240,232
518,236,233
519,232,232
