,x,y
0,231,243
1,236,240
2,241,238
3,245,239
4,249,238
5,254,240
6,259,243
7,253,247
8,248,249
9,244,249
10,240,248
11,236,247
12,234,243
13,241,241
14,245,242
15,249,242
16,256,243
17,248,243
18,244,243
19,241,243
20,232,243
21,237,240
22,241,237
23,245,239
24,249,237
25,254,240
26,260,243
27,254,247
28,249,248
29,245,249
30,241,248
31,237,246
32,234,243
33,241,241
34,245,242
35,248,241
36,257,243
37,249,243
38,245,243
39,241,243
40,232,242
41,237,240
42,241,237
43,244,239
44,248,238
45,254,240
46,260,242
47,254,247
48,248,248
49,244,248
50,240,248
51,236,246
52,234,242
53,241,241
54,244,242
55,248,241
56,257,243
57,248,243
58,244,243
59,241,242
60,232,242
61,237,240
62,241,238
63,245,239
64,249,238
65,254,240
66,260,243
67,254,247
68,249,248
69,244,248
70,240,248
71,236,246
72,235,242
73,241,241
74,245,242
75,249,242
76,257,243
77,249,243
78,244,243
79,241,242
80,231,243
81,237,240
82,241,238
83,245,239
84,248,238
85,253,240
86,259,243
87,253,247
88,248,248
89,244,249
90,240,248
91,236,246
92,234,243
93,241,242
94,245,242
95,248,242
96,256,243
97,248,243
98,245,243
99,241,242
100,232,242
101,237,239
102,242,237
103,245,238
104,247,236
105,252,239
106,258,242
107,252,247
108,247,248
109,244,248
110,241,248
111,237,246
112,235,242
113,242,241
114,244,241
115,247,241
116,256,242
117,247,243
118,244,242
119,241,242
120,232,242
121,236,237
122,241,234
123,244,235
124,248,234
125,253,237
126,258,243
127,252,248
128,247,250
129,243,250
130,239,249
131,235,247
132,235,242
133,240,239
134,244,239
135,247,240
136,255,242
137,247,243
138,243,243
139,240,243
140,231,241
141,236,238
142,241,235
143,245,236
144,249,235
145,254,238
146,260,242
147,254,247
148,249,249
149,245,249
150,240,248
151,236,247
152,234,241
153,241,240
154,245,240
155,249,240
156,257,242
157,249,243
158,245,243
159,241,243
160,231,242
161,236,238
162,241,235
163,245,236
164,249,235
165,255,238
166,262,241
167,256,248
168,250,250
169,245,250
170,241,249
171,236,247
172,234,241
173,241,240
174,245,240
175,249,240
176,259,241
177,249,244
178,245,244
179,241,243
180,231,241
181,236,238
182,241,236
183,245,237
184,249,236
185,254,238
186,261,241
187,255,247
188,249,249
189,245,250
190,241,249
191,236,247
192,234,241
193,241,240
194,245,240
195,249,240
196,258,241
197,249,243
198,245,243
199,241,243
200,231,242
201,236,238
202,241,236
203,245,237
204,248,236
205,254,238
206,261,241
207,255,247
208,249,249
209,245,250
210,241,249
211,236,247
212,233,242
213,241,240
214,245,241
215,248,240
216,258,242
217,249,243
218,245,244
219,241,243
220,231,241
221,236,238
222,241,236
223,245,237
224,249,236
225,254,238
226,260,241
227,254,247
228,249,249
229,244,249
230,240,249
231,236,246
232,233,241
233,241,240
234,245,241
235,249,240
236,257,241
237,248,243
238,244,243
239,240,243
240,231,240
241,236,238
242,241,236
243,245,237
244,248,236
245,254,238
246,260,241
247,254,246
248,249,248
249,244,248
250,240,247
251,236,245
252,234,241
253,241,239
254,245,240
255,248,239
256,258,241
257,248,243
258,244,243
259,241,242
