w= 234 ; h= 348
w= 235 ; h= 347
w= 227 ; h= 342
w= 225 ; h= 340
w= 222 ; h= 331
w= 232 ; h= 342
w= 237 ; h= 344
w= 229 ; h= 335
w= 230 ; h= 339
w= 231 ; h= 338
w= 238 ; h= 340
w= 227 ; h= 336
w= 228 ; h= 349
w= 231 ; h= 350
w= 236 ; h= 344
w= 227 ; h= 337
w= 229 ; h= 334
w= 185 ; h= 330
w= 188 ; h= 336
w= 198 ; h= 344
w= 209 ; h= 351
w= 145 ; h= 164
w= 220 ; h= 351
w= 213 ; h= 343
w= 205 ; h= 334
w= 201 ; h= 335
w= 225 ; h= 353
w= 245 ; h= 359
w= 231 ; h= 342
w= 219 ; h= 350
w= 213 ; h= 347
w= 223 ; h= 360
w= 140 ; h= 173
w= 226 ; h= 360
w= 159 ; h= 186
w= 248 ; h= 385
w= 158 ; h= 190
w= 250 ; h= 386
w= 162 ; h= 190
w= 256 ; h= 390
w= 254 ; h= 385
w= 256 ; h= 390
w= 256 ; h= 385
w= 249 ; h= 378
w= 252 ; h= 382
w= 245 ; h= 377
w= 257 ; h= 388
w= 244 ; h= 373
w= 235 ; h= 368
w= 230 ; h= 118
w= 239 ; h= 368
w= 227 ; h= 114
w= 219 ; h= 358
w= 221 ; h= 358
w= 217 ; h= 361
w= 229 ; h= 112
w= 228 ; h= 378
w= 224 ; h= 368
w= 213 ; h= 350
w= 222 ; h= 364
w= 230 ; h= 353
w= 233 ; h= 355
w= 233 ; h= 135
w= 235 ; h= 351
w= 235 ; h= 386
w= 227 ; h= 371
w= 221 ; h= 361
w= 223 ; h= 117
w= 220 ; h= 346
w= 219 ; h= 344
w= 222 ; h= 117
w= 225 ; h= 349
w= 229 ; h= 126
w= 220 ; h= 348
w= 224 ; h= 360
w= 219 ; h= 349
w= 226 ; h= 363
w= 223 ; h= 359
w= 221 ; h= 351
w= 227 ; h= 360
w= 224 ; h= 361
w= 219 ; h= 346
w= 221 ; h= 348
w= 212 ; h= 346
w= 210 ; h= 342
w= 213 ; h= 351
w= 223 ; h= 344
w= 225 ; h= 352
w= 224 ; h= 344
w= 224 ; h= 359
w= 223 ; h= 354
w= 225 ; h= 352
w= 227 ; h= 356
w= 228 ; h= 354
w= 215 ; h= 349
w= 216 ; h= 350
w= 216 ; h= 353
w= 216 ; h= 354
w= 223 ; h= 354
w= 220 ; h= 348
w= 213 ; h= 348
w= 217 ; h= 349
w= 223 ; h= 349
w= 222 ; h= 353
w= 218 ; h= 353
w= 223 ; h= 351
w= 225 ; h= 352
w= 223 ; h= 345
w= 229 ; h= 359
w= 224 ; h= 345
w= 224 ; h= 356
w= 228 ; h= 359
w= 229 ; h= 352
w= 222 ; h= 347
w= 224 ; h= 347
w= 216 ; h= 376
w= 218 ; h= 380
w= 216 ; h= 368
w= 220 ; h= 359
w= 217 ; h= 364
w= 217 ; h= 364
w= 217 ; h= 364
w= 219 ; h= 359
w= 219 ; h= 358
w= 221 ; h= 362
w= 211 ; h= 361
w= 209 ; h= 359
w= 216 ; h= 361
w= 216 ; h= 357
w= 210 ; h= 359
w= 208 ; h= 354
w= 205 ; h= 354
w= 207 ; h= 353
w= 211 ; h= 356
w= 202 ; h= 350
w= 207 ; h= 346
w= 202 ; h= 351
w= 207 ; h= 353
w= 208 ; h= 355
w= 202 ; h= 356
w= 206 ; h= 354
w= 206 ; h= 347
w= 219 ; h= 361
w= 211 ; h= 351
w= 229 ; h= 363
w= 221 ; h= 360
w= 216 ; h= 353
w= 221 ; h= 369
w= 225 ; h= 373
w= 232 ; h= 366
w= 220 ; h= 363
w= 223 ; h= 366
w= 222 ; h= 366
w= 224 ; h= 365
w= 225 ; h= 364
w= 230 ; h= 373
w= 236 ; h= 369
w= 234 ; h= 367
w= 240 ; h= 373
w= 237 ; h= 375
w= 238 ; h= 375
w= 233 ; h= 372
w= 223 ; h= 373
w= 227 ; h= 363
w= 228 ; h= 366
w= 229 ; h= 369
w= 224 ; h= 366
w= 233 ; h= 372
w= 229 ; h= 369
w= 226 ; h= 368
w= 235 ; h= 373
w= 197 ; h= 353
w= 194 ; h= 347
w= 202 ; h= 367
w= 210 ; h= 366
w= 210 ; h= 364
w= 215 ; h= 364
w= 224 ; h= 366
w= 224 ; h= 365
w= 231 ; h= 378
w= 220 ; h= 344
w= 227 ; h= 353
w= 219 ; h= 349
w= 220 ; h= 341
w= 218 ; h= 338
w= 219 ; h= 338
w= 219 ; h= 338
w= 229 ; h= 358
w= 228 ; h= 351
w= 230 ; h= 350
w= 227 ; h= 350
w= 221 ; h= 344
w= 217 ; h= 342
w= 220 ; h= 338
w= 224 ; h= 336
w= 222 ; h= 350
w= 235 ; h= 351
w= 231 ; h= 349
w= 240 ; h= 360
w= 227 ; h= 345
w= 231 ; h= 334
w= 222 ; h= 335
w= 224 ; h= 329
w= 229 ; h= 339
w= 225 ; h= 386
w= 220 ; h= 392
w= 218 ; h= 381
w= 228 ; h= 389
w= 227 ; h= 392
w= 224 ; h= 384
w= 225 ; h= 399
w= 223 ; h= 400
w= 227 ; h= 408
w= 222 ; h= 395
w= 221 ; h= 368
w= 235 ; h= 367
w= 241 ; h= 371
w= 232 ; h= 386
w= 221 ; h= 383
w= 219 ; h= 385
w= 224 ; h= 399
w= 220 ; h= 397
w= 217 ; h= 401
w= 211 ; h= 394
w= 244 ; h= 355
w= 240 ; h= 342
w= 249 ; h= 355
w= 245 ; h= 366
w= 246 ; h= 365
w= 241 ; h= 354
w= 242 ; h= 357
w= 244 ; h= 346
w= 244 ; h= 345
w= 241 ; h= 350
w= 247 ; h= 354
w= 248 ; h= 351
w= 246 ; h= 347
w= 245 ; h= 351
w= 246 ; h= 355
w= 241 ; h= 351
w= 237 ; h= 357
w= 238 ; h= 347
w= 242 ; h= 349
w= 240 ; h= 341
w= 241 ; h= 346
w= 238 ; h= 342
w= 175 ; h= 213
w= 168 ; h= 220
w= 249 ; h= 366
w= 255 ; h= 365
w= 252 ; h= 363
w= 242 ; h= 349
w= 241 ; h= 347
w= 243 ; h= 352
w= 243 ; h= 354
w= 241 ; h= 350
w= 241 ; h= 352
w= 247 ; h= 358
w= 250 ; h= 355
w= 241 ; h= 345
w= 239 ; h= 355
w= 239 ; h= 352
w= 249 ; h= 357
w= 248 ; h= 370
w= 244 ; h= 350
w= 245 ; h= 356
w= 245 ; h= 357
w= 236 ; h= 346
w= 249 ; h= 356
w= 248 ; h= 354
w= 238 ; h= 347
w= 239 ; h= 348
w= 248 ; h= 360
w= 245 ; h= 355
w= 236 ; h= 350
w= 237 ; h= 350
w= 236 ; h= 345
w= 228 ; h= 344
w= 237 ; h= 351
w= 233 ; h= 346
w= 211 ; h= 347
w= 212 ; h= 348
w= 210 ; h= 340
w= 210 ; h= 341
w= 216 ; h= 343
w= 214 ; h= 346
w= 213 ; h= 343
w= 210 ; h= 342
w= 212 ; h= 349
w= 223 ; h= 347
w= 237 ; h= 355
w= 233 ; h= 359
w= 233 ; h= 362
w= 234 ; h= 362
w= 229 ; h= 354
w= 229 ; h= 338
w= 231 ; h= 342
w= 231 ; h= 345
w= 228 ; h= 346
w= 229 ; h= 345
w= 221 ; h= 328
w= 219 ; h= 326
w= 231 ; h= 338
w= 231 ; h= 346
w= 233 ; h= 348
w= 234 ; h= 343
w= 241 ; h= 360
w= 239 ; h= 354
w= 224 ; h= 335
w= 235 ; h= 352
w= 234 ; h= 345
w= 215 ; h= 92
w= 206 ; h= 79
w= 240 ; h= 347
w= 247 ; h= 351
w= 217 ; h= 327
w= 215 ; h= 333
w= 210 ; h= 320
w= 217 ; h= 329
w= 218 ; h= 339
w= 222 ; h= 333
w= 246 ; h= 372
w= 243 ; h= 375
w= 231 ; h= 381
w= 241 ; h= 375
w= 239 ; h= 380
w= 234 ; h= 347
w= 230 ; h= 342
w= 228 ; h= 363
w= 235 ; h= 371
w= 239 ; h= 382
w= 237 ; h= 381
w= 250 ; h= 383
w= 246 ; h= 367
w= 241 ; h= 367
w= 242 ; h= 372
w= 252 ; h= 381
w= 249 ; h= 379
w= 257 ; h= 391
w= 250 ; h= 395
w= 248 ; h= 389
w= 253 ; h= 391
w= 252 ; h= 386
w= 256 ; h= 385
w= 261 ; h= 378
w= 255 ; h= 376
w= 243 ; h= 365
w= 334 ; h= 268
w= 258 ; h= 438
w= 224 ; h= 409
w= 304 ; h= 244
w= 238 ; h= 423
w= 321 ; h= 255
w= 213 ; h= 411
w= 305 ; h= 249
w= 209 ; h= 414
w= 308 ; h= 247
w= 244 ; h= 436
w= 278 ; h= 370
w= 294 ; h= 385
