w= 267 ; h= 391
w= 268 ; h= 391
w= 264 ; h= 397
w= 260 ; h= 373
w= 263 ; h= 375
w= 268 ; h= 375
w= 263 ; h= 371
w= 267 ; h= 370
w= 270 ; h= 381
w= 265 ; h= 378
w= 264 ; h= 379
w= 257 ; h= 373
w= 257 ; h= 375
w= 244 ; h= 357
w= 227 ; h= 354
w= 235 ; h= 367
w= 228 ; h= 360
w= 245 ; h= 367
w= 254 ; h= 365
w= 246 ; h= 363
w= 243 ; h= 362
w= 243 ; h= 362
w= 242 ; h= 359
w= 252 ; h= 367
w= 234 ; h= 364
w= 130 ; h= 225
w= 244 ; h= 356
w= 239 ; h= 348
w= 136 ; h= 219
w= 225 ; h= 348
w= 224 ; h= 342
w= 131 ; h= 216
w= 129 ; h= 218
w= 223 ; h= 388
w= 122 ; h= 212
w= 222 ; h= 356
w= 124 ; h= 214
w= 142 ; h= 217
w= 137 ; h= 232
w= 133 ; h= 217
w= 135 ; h= 213
w= 114 ; h= 202
w= 238 ; h= 398
w= 143 ; h= 217
w= 239 ; h= 403
w= 142 ; h= 217
w= 143 ; h= 223
w= 246 ; h= 429
w= 148 ; h= 226
w= 255 ; h= 415
w= 157 ; h= 222
w= 247 ; h= 412
w= 146 ; h= 217
w= 236 ; h= 360
w= 235 ; h= 359
w= 243 ; h= 363
w= 237 ; h= 355
w= 235 ; h= 350
w= 235 ; h= 350
w= 235 ; h= 350
w= 237 ; h= 351
w= 239 ; h= 352
w= 231 ; h= 353
w= 235 ; h= 361
w= 231 ; h= 363
w= 232 ; h= 363
w= 233 ; h= 364
w= 229 ; h= 359
w= 230 ; h= 364
w= 227 ; h= 358
w= 228 ; h= 360
w= 230 ; h= 357
w= 232 ; h= 358
w= 228 ; h= 354
w= 227 ; h= 350
w= 231 ; h= 358
w= 229 ; h= 366
w= 233 ; h= 365
w= 230 ; h= 362
w= 241 ; h= 369
w= 240 ; h= 375
w= 235 ; h= 369
w= 240 ; h= 367
w= 236 ; h= 372
w= 233 ; h= 369
w= 93 ; h= 404
w= 204 ; h= 339
w= 201 ; h= 337
w= 204 ; h= 336
w= 204 ; h= 331
w= 207 ; h= 331
w= 208 ; h= 333
w= 208 ; h= 333
w= 204 ; h= 325
w= 207 ; h= 327
w= 208 ; h= 326
w= 211 ; h= 321
w= 214 ; h= 339
w= 214 ; h= 323
w= 213 ; h= 330
w= 214 ; h= 332
w= 209 ; h= 331
w= 212 ; h= 338
w= 214 ; h= 337
w= 213 ; h= 335
w= 213 ; h= 337
w= 211 ; h= 341
w= 220 ; h= 358
w= 217 ; h= 341
w= 214 ; h= 332
w= 211 ; h= 348
w= 223 ; h= 351
w= 206 ; h= 325
w= 216 ; h= 336
w= 220 ; h= 345
w= 217 ; h= 376
w= 221 ; h= 378
w= 223 ; h= 377
w= 223 ; h= 377
w= 232 ; h= 382
w= 233 ; h= 333
w= 240 ; h= 338
w= 238 ; h= 337
w= 228 ; h= 333
w= 235 ; h= 337
w= 233 ; h= 335
w= 238 ; h= 338
w= 233 ; h= 332
w= 231 ; h= 333
w= 232 ; h= 333
w= 238 ; h= 337
w= 234 ; h= 334
w= 232 ; h= 327
w= 307 ; h= 234
w= 227 ; h= 326
w= 230 ; h= 333
w= 314 ; h= 241
w= 236 ; h= 332
w= 237 ; h= 338
w= 230 ; h= 329
w= 229 ; h= 333
w= 239 ; h= 340
w= 236 ; h= 339
w= 226 ; h= 335
w= 226 ; h= 333
w= 226 ; h= 332
w= 227 ; h= 329
w= 228 ; h= 333
w= 210 ; h= 327
w= 212 ; h= 324
w= 207 ; h= 318
w= 215 ; h= 403
w= 138 ; h= 205
w= 213 ; h= 402
w= 134 ; h= 204
w= 140 ; h= 203
w= 134 ; h= 202
w= 131 ; h= 219
w= 131 ; h= 219
w= 131 ; h= 219
w= 222 ; h= 394
w= 222 ; h= 396
w= 220 ; h= 379
w= 137 ; h= 217
w= 152 ; h= 214
w= 233 ; h= 388
w= 218 ; h= 360
w= 206 ; h= 350
w= 132 ; h= 200
w= 128 ; h= 204
w= 124 ; h= 236
w= 216 ; h= 376
w= 138 ; h= 209
w= 132 ; h= 210
w= 128 ; h= 196
w= 138 ; h= 197
w= 127 ; h= 203
w= 155 ; h= 237
w= 113 ; h= 217
w= 125 ; h= 220
w= 152 ; h= 232
w= 119 ; h= 217
w= 131 ; h= 223
w= 127 ; h= 228
w= 137 ; h= 231
w= 139 ; h= 236
w= 258 ; h= 418
w= 148 ; h= 239
w= 250 ; h= 410
w= 136 ; h= 237
w= 248 ; h= 392
w= 136 ; h= 223
w= 224 ; h= 392
w= 223 ; h= 386
w= 233 ; h= 394
w= 236 ; h= 399
w= 231 ; h= 393
w= 232 ; h= 395
w= 231 ; h= 393
w= 225 ; h= 395
w= 228 ; h= 403
w= 231 ; h= 402
w= 228 ; h= 394
w= 225 ; h= 402
