w= 212 ; h= 333
w= 215 ; h= 335
w= 217 ; h= 336
w= 211 ; h= 323
w= 226 ; h= 326
w= 226 ; h= 326
w= 226 ; h= 330
w= 226 ; h= 331
w= 227 ; h= 336
w= 227 ; h= 334
w= 224 ; h= 331
w= 221 ; h= 323
w= 228 ; h= 340
w= 228 ; h= 336
w= 233 ; h= 332
w= 234 ; h= 341
w= 226 ; h= 367
w= 219 ; h= 366
w= 219 ; h= 360
w= 225 ; h= 364
w= 227 ; h= 361
w= 227 ; h= 366
w= 229 ; h= 368
w= 232 ; h= 372
w= 229 ; h= 365
w= 235 ; h= 370
w= 235 ; h= 367
w= 231 ; h= 369
w= 223 ; h= 361
w= 242 ; h= 377
w= 234 ; h= 370
w= 234 ; h= 371
w= 241 ; h= 382
w= 238 ; h= 378
w= 230 ; h= 371
w= 246 ; h= 383
w= 238 ; h= 378
w= 234 ; h= 375
w= 239 ; h= 376
w= 233 ; h= 373
w= 240 ; h= 393
w= 239 ; h= 375
w= 240 ; h= 375
w= 237 ; h= 379
w= 238 ; h= 381
w= 244 ; h= 377
w= 249 ; h= 382
w= 241 ; h= 390
w= 236 ; h= 378
w= 236 ; h= 388
w= 236 ; h= 385
w= 239 ; h= 395
w= 243 ; h= 392
w= 240 ; h= 390
w= 230 ; h= 372
w= 237 ; h= 383
w= 246 ; h= 397
w= 239 ; h= 387
w= 238 ; h= 382
w= 244 ; h= 379
w= 242 ; h= 380
w= 244 ; h= 396
w= 246 ; h= 387
w= 203 ; h= 355
w= 227 ; h= 346
w= 228 ; h= 347
w= 228 ; h= 347
w= 199 ; h= 343
w= 199 ; h= 343
w= 186 ; h= 333
w= 206 ; h= 351
w= 206 ; h= 352
w= 206 ; h= 355
w= 204 ; h= 355
w= 206 ; h= 357
w= 221 ; h= 355
w= 213 ; h= 354
w= 209 ; h= 355
w= 217 ; h= 353
w= 204 ; h= 356
w= 206 ; h= 360
w= 201 ; h= 354
w= 210 ; h= 351
w= 218 ; h= 360
w= 208 ; h= 357
w= 217 ; h= 348
w= 211 ; h= 351
w= 202 ; h= 342
w= 205 ; h= 342
w= 205 ; h= 340
w= 207 ; h= 342
w= 214 ; h= 350
w= 224 ; h= 359
w= 225 ; h= 354
w= 222 ; h= 347
w= 225 ; h= 347
w= 219 ; h= 343
w= 221 ; h= 345
w= 227 ; h= 356
w= 228 ; h= 355
w= 228 ; h= 358
w= 223 ; h= 349
w= 220 ; h= 349
w= 223 ; h= 347
w= 220 ; h= 345
w= 236 ; h= 359
w= 227 ; h= 347
w= 223 ; h= 357
w= 226 ; h= 362
w= 228 ; h= 362
w= 225 ; h= 365
w= 223 ; h= 364
w= 220 ; h= 362
w= 222 ; h= 373
w= 217 ; h= 355
w= 218 ; h= 351
w= 213 ; h= 346
w= 218 ; h= 354
w= 219 ; h= 353
w= 216 ; h= 347
w= 224 ; h= 356
w= 221 ; h= 352
w= 220 ; h= 354
w= 225 ; h= 325
w= 221 ; h= 324
w= 224 ; h= 327
w= 227 ; h= 325
w= 231 ; h= 331
w= 231 ; h= 326
w= 230 ; h= 326
w= 227 ; h= 331
w= 223 ; h= 326
w= 229 ; h= 336
w= 230 ; h= 331
w= 229 ; h= 332
w= 232 ; h= 335
w= 230 ; h= 334
w= 232 ; h= 330
w= 231 ; h= 332
w= 233 ; h= 333
w= 229 ; h= 332
w= 227 ; h= 332
w= 234 ; h= 329
w= 227 ; h= 328
w= 224 ; h= 327
w= 236 ; h= 334
w= 241 ; h= 335
w= 226 ; h= 324
w= 223 ; h= 320
w= 228 ; h= 324
w= 223 ; h= 328
w= 228 ; h= 328
w= 222 ; h= 331
w= 228 ; h= 328
w= 233 ; h= 330
w= 194 ; h= 407
w= 195 ; h= 397
w= 90 ; h= 269
w= 225 ; h= 370
w= 232 ; h= 375
w= 230 ; h= 375
w= 227 ; h= 369
w= 226 ; h= 375
w= 228 ; h= 372
w= 228 ; h= 372
w= 229 ; h= 373
w= 233 ; h= 372
w= 229 ; h= 370
w= 222 ; h= 368
w= 224 ; h= 369
w= 223 ; h= 357
w= 221 ; h= 357
w= 223 ; h= 364
w= 224 ; h= 359
w= 222 ; h= 368
w= 229 ; h= 373
w= 230 ; h= 374
w= 223 ; h= 367
w= 234 ; h= 372
w= 230 ; h= 369
w= 228 ; h= 369
w= 231 ; h= 370
w= 223 ; h= 365
w= 224 ; h= 368
w= 221 ; h= 364
w= 220 ; h= 362
w= 221 ; h= 366
w= 232 ; h= 374
w= 237 ; h= 379
w= 229 ; h= 371
w= 252 ; h= 357
w= 246 ; h= 368
w= 325 ; h= 180
w= 247 ; h= 374
w= 243 ; h= 367
w= 247 ; h= 377
w= 247 ; h= 377
w= 246 ; h= 377
w= 246 ; h= 375
w= 332 ; h= 170
w= 246 ; h= 375
w= 332 ; h= 170
w= 247 ; h= 369
w= 326 ; h= 172
w= 325 ; h= 172
w= 247 ; h= 369
w= 324 ; h= 171
w= 246 ; h= 364
w= 244 ; h= 362
w= 330 ; h= 173
w= 252 ; h= 370
w= 328 ; h= 166
w= 253 ; h= 372
w= 325 ; h= 174
w= 256 ; h= 366
w= 326 ; h= 175
w= 253 ; h= 370
w= 318 ; h= 169
w= 245 ; h= 364
w= 248 ; h= 379
w= 326 ; h= 179
w= 248 ; h= 380
w= 326 ; h= 175
w= 252 ; h= 380
w= 325 ; h= 177
w= 254 ; h= 388
w= 328 ; h= 182
w= 327 ; h= 181
w= 259 ; h= 390
w= 254 ; h= 376
w= 324 ; h= 172
w= 257 ; h= 391
w= 331 ; h= 186
w= 249 ; h= 380
w= 329 ; h= 174
w= 244 ; h= 382
w= 319 ; h= 177
w= 239 ; h= 374
w= 319 ; h= 164
w= 236 ; h= 385
w= 315 ; h= 172
w= 242 ; h= 389
w= 316 ; h= 175
w= 236 ; h= 376
w= 312 ; h= 168
w= 244 ; h= 381
w= 318 ; h= 173
w= 244 ; h= 381
w= 318 ; h= 173
w= 244 ; h= 379
w= 318 ; h= 173
w= 244 ; h= 379
w= 318 ; h= 173
