w= 205 ; h= 360
w= 212 ; h= 360
w= 311 ; h= 198
w= 213 ; h= 344
w= 269 ; h= 296
w= 282 ; h= 287
w= 284 ; h= 289
w= 283 ; h= 279
w= 199 ; h= 339
w= 207 ; h= 338
w= 218 ; h= 364
w= 234 ; h= 369
w= 235 ; h= 360
w= 238 ; h= 359
w= 270 ; h= 372
w= 269 ; h= 371
w= 202 ; h= 320
w= 206 ; h= 324
w= 218 ; h= 324
w= 210 ; h= 331
w= 217 ; h= 335
w= 217 ; h= 335
w= 218 ; h= 335
w= 214 ; h= 327
w= 214 ; h= 327
w= 210 ; h= 326
w= 210 ; h= 324
w= 212 ; h= 312
w= 191 ; h= 299
w= 192 ; h= 303
w= 191 ; h= 313
w= 184 ; h= 306
w= 188 ; h= 306
w= 200 ; h= 337
w= 192 ; h= 314
w= 206 ; h= 304
w= 182 ; h= 303
w= 215 ; h= 335
w= 222 ; h= 339
w= 207 ; h= 331
w= 212 ; h= 326
w= 194 ; h= 307
w= 183 ; h= 304
w= 201 ; h= 301
w= 188 ; h= 304
w= 207 ; h= 320
w= 222 ; h= 344
w= 212 ; h= 334
w= 226 ; h= 352
w= 218 ; h= 322
w= 217 ; h= 335
w= 119 ; h= 199
w= 214 ; h= 347
w= 210 ; h= 354
w= 219 ; h= 360
w= 217 ; h= 357
w= 221 ; h= 365
w= 228 ; h= 380
w= 209 ; h= 362
w= 209 ; h= 357
w= 213 ; h= 352
w= 225 ; h= 349
w= 223 ; h= 368
w= 233 ; h= 373
w= 231 ; h= 378
w= 218 ; h= 374
w= 229 ; h= 367
w= 224 ; h= 351
w= 185 ; h= 298
w= 191 ; h= 302
w= 200 ; h= 303
w= 216 ; h= 324
w= 223 ; h= 336
w= 223 ; h= 336
w= 223 ; h= 335
w= 310 ; h= 174
w= 227 ; h= 338
w= 227 ; h= 338
w= 236 ; h= 347
w= 223 ; h= 341
w= 220 ; h= 343
w= 226 ; h= 345
w= 227 ; h= 342
w= 226 ; h= 339
w= 220 ; h= 329
w= 224 ; h= 338
w= 221 ; h= 326
w= 224 ; h= 319
w= 227 ; h= 331
w= 223 ; h= 330
w= 219 ; h= 318
w= 219 ; h= 318
w= 220 ; h= 324
w= 227 ; h= 332
w= 229 ; h= 333
w= 240 ; h= 352
w= 235 ; h= 344
w= 234 ; h= 346
w= 236 ; h= 345
w= 233 ; h= 346
w= 247 ; h= 358
w= 237 ; h= 391
w= 244 ; h= 385
w= 248 ; h= 368
w= 248 ; h= 366
w= 245 ; h= 346
w= 245 ; h= 346
w= 253 ; h= 359
w= 256 ; h= 362
w= 255 ; h= 382
w= 252 ; h= 372
w= 252 ; h= 371
w= 244 ; h= 369
w= 246 ; h= 369
w= 247 ; h= 388
w= 238 ; h= 362
w= 247 ; h= 362
w= 249 ; h= 367
w= 246 ; h= 359
w= 249 ; h= 361
w= 252 ; h= 372
w= 254 ; h= 380
w= 255 ; h= 371
w= 251 ; h= 362
w= 250 ; h= 358
w= 248 ; h= 368
w= 257 ; h= 373
w= 255 ; h= 376
w= 249 ; h= 375
w= 248 ; h= 359
w= 248 ; h= 359
w= 248 ; h= 359
w= 248 ; h= 359
