w= 211 ; h= 351
w= 302 ; h= 164
w= 208 ; h= 352
w= 303 ; h= 164
w= 213 ; h= 357
w= 214 ; h= 360
w= 217 ; h= 355
w= 221 ; h= 358
w= 210 ; h= 347
w= 207 ; h= 352
w= 214 ; h= 353
w= 212 ; h= 354
w= 203 ; h= 345
w= 202 ; h= 344
w= 305 ; h= 170
w= 310 ; h= 169
w= 235 ; h= 367
w= 231 ; h= 354
w= 235 ; h= 352
w= 232 ; h= 361
w= 232 ; h= 367
w= 233 ; h= 369
w= 233 ; h= 368
w= 233 ; h= 365
w= 233 ; h= 365
w= 235 ; h= 362
w= 231 ; h= 364
w= 232 ; h= 356
w= 234 ; h= 362
w= 233 ; h= 364
w= 233 ; h= 357
w= 242 ; h= 373
w= 235 ; h= 360
w= 239 ; h= 374
w= 236 ; h= 367
w= 231 ; h= 356
w= 233 ; h= 366
w= 235 ; h= 370
w= 234 ; h= 371
w= 238 ; h= 371
w= 233 ; h= 369
w= 239 ; h= 383
w= 241 ; h= 385
w= 245 ; h= 372
w= 244 ; h= 384
w= 231 ; h= 362
w= 237 ; h= 352
w= 249 ; h= 357
w= 238 ; h= 351
w= 234 ; h= 346
w= 230 ; h= 341
w= 230 ; h= 339
w= 230 ; h= 339
w= 223 ; h= 333
w= 223 ; h= 335
w= 222 ; h= 344
w= 217 ; h= 334
w= 224 ; h= 340
w= 217 ; h= 334
w= 219 ; h= 332
w= 220 ; h= 328
w= 220 ; h= 342
w= 225 ; h= 343
w= 225 ; h= 341
w= 228 ; h= 337
w= 218 ; h= 337
w= 231 ; h= 345
w= 222 ; h= 331
w= 218 ; h= 337
w= 218 ; h= 328
w= 230 ; h= 345
w= 220 ; h= 339
w= 219 ; h= 340
w= 218 ; h= 338
w= 221 ; h= 337
w= 222 ; h= 340
w= 218 ; h= 346
w= 220 ; h= 343
w= 201 ; h= 362
w= 202 ; h= 359
w= 210 ; h= 362
w= 206 ; h= 362
w= 210 ; h= 358
w= 208 ; h= 359
w= 209 ; h= 357
w= 208 ; h= 358
w= 207 ; h= 357
w= 211 ; h= 367
w= 208 ; h= 359
w= 216 ; h= 367
w= 204 ; h= 360
w= 209 ; h= 356
w= 209 ; h= 352
w= 203 ; h= 345
w= 208 ; h= 351
w= 210 ; h= 352
w= 212 ; h= 358
w= 204 ; h= 357
w= 210 ; h= 366
w= 210 ; h= 363
w= 209 ; h= 362
w= 211 ; h= 363
w= 209 ; h= 363
w= 205 ; h= 359
w= 208 ; h= 362
w= 207 ; h= 370
w= 202 ; h= 369
w= 204 ; h= 355
w= 202 ; h= 351
w= 204 ; h= 351
w= 119 ; h= 162
w= 208 ; h= 311
w= 135 ; h= 176
w= 133 ; h= 175
w= 142 ; h= 185
w= 142 ; h= 193
w= 246 ; h= 349
w= 251 ; h= 342
w= 248 ; h= 336
w= 258 ; h= 342
w= 257 ; h= 342
w= 260 ; h= 347
w= 254 ; h= 351
w= 255 ; h= 347
w= 253 ; h= 328
w= 261 ; h= 341
w= 236 ; h= 322
w= 216 ; h= 296
w= 215 ; h= 312
w= 203 ; h= 308
w= 207 ; h= 325
w= 211 ; h= 323
w= 213 ; h= 331
w= 207 ; h= 325
w= 195 ; h= 318
w= 202 ; h= 318
w= 195 ; h= 318
w= 201 ; h= 315
w= 200 ; h= 317
w= 202 ; h= 323
w= 205 ; h= 322
w= 208 ; h= 328
w= 216 ; h= 332
w= 211 ; h= 325
w= 225 ; h= 340
w= 216 ; h= 325
w= 211 ; h= 334
w= 216 ; h= 336
w= 225 ; h= 346
w= 215 ; h= 336
w= 220 ; h= 338
w= 228 ; h= 346
w= 221 ; h= 345
w= 231 ; h= 350
w= 225 ; h= 347
w= 226 ; h= 358
w= 232 ; h= 352
w= 233 ; h= 359
w= 248 ; h= 370
w= 251 ; h= 373
w= 254 ; h= 380
w= 252 ; h= 373
w= 251 ; h= 381
w= 250 ; h= 375
w= 262 ; h= 378
w= 257 ; h= 386
w= 255 ; h= 382
w= 260 ; h= 382
w= 254 ; h= 384
w= 265 ; h= 397
w= 261 ; h= 397
w= 263 ; h= 397
w= 257 ; h= 391
w= 262 ; h= 394
w= 257 ; h= 390
w= 253 ; h= 390
w= 258 ; h= 398
w= 254 ; h= 392
w= 250 ; h= 386
w= 239 ; h= 378
w= 256 ; h= 396
w= 258 ; h= 395
w= 247 ; h= 392
w= 256 ; h= 393
w= 256 ; h= 391
w= 258 ; h= 392
w= 257 ; h= 393
w= 256 ; h= 392
w= 256 ; h= 392
