w= 241 ; h= 357
w= 223 ; h= 128
w= 241 ; h= 347
w= 206 ; h= 112
w= 221 ; h= 322
w= 225 ; h= 340
w= 222 ; h= 131
w= 238 ; h= 347
w= 247 ; h= 360
w= 240 ; h= 363
w= 224 ; h= 133
w= 243 ; h= 368
w= 250 ; h= 364
w= 249 ; h= 354
w= 260 ; h= 366
w= 256 ; h= 369
w= 259 ; h= 394
w= 263 ; h= 387
w= 232 ; h= 349
w= 209 ; h= 370
w= 205 ; h= 368
w= 204 ; h= 356
w= 213 ; h= 352
w= 212 ; h= 354
w= 211 ; h= 354
w= 203 ; h= 337
w= 207 ; h= 341
w= 206 ; h= 348
w= 204 ; h= 354
w= 207 ; h= 364
w= 210 ; h= 366
w= 205 ; h= 358
w= 207 ; h= 359
w= 202 ; h= 357
w= 206 ; h= 361
w= 204 ; h= 354
w= 199 ; h= 354
w= 217 ; h= 335
w= 216 ; h= 342
w= 216 ; h= 336
w= 222 ; h= 336
w= 220 ; h= 340
w= 223 ; h= 338
w= 221 ; h= 340
w= 218 ; h= 337
w= 219 ; h= 337
w= 225 ; h= 339
w= 225 ; h= 335
w= 224 ; h= 330
w= 218 ; h= 332
w= 226 ; h= 337
w= 222 ; h= 339
w= 222 ; h= 338
w= 223 ; h= 337
w= 223 ; h= 338
w= 229 ; h= 342
w= 227 ; h= 340
w= 226 ; h= 347
w= 211 ; h= 325
w= 218 ; h= 329
w= 213 ; h= 329
w= 206 ; h= 335
w= 285 ; h= 380
w= 274 ; h= 373
w= 264 ; h= 367
w= 282 ; h= 379
w= 253 ; h= 337
w= 261 ; h= 350
w= 258 ; h= 340
w= 276 ; h= 361
w= 259 ; h= 361
w= 268 ; h= 366
w= 262 ; h= 358
w= 270 ; h= 366
w= 277 ; h= 365
w= 285 ; h= 375
w= 298 ; h= 379
w= 277 ; h= 381
w= 272 ; h= 380
w= 273 ; h= 382
w= 227 ; h= 134
w= 246 ; h= 373
w= 216 ; h= 127
w= 236 ; h= 364
w= 247 ; h= 351
w= 251 ; h= 356
w= 223 ; h= 141
w= 249 ; h= 366
w= 241 ; h= 360
w= 221 ; h= 138
w= 248 ; h= 362
w= 271 ; h= 386
w= 271 ; h= 386
w= 233 ; h= 152
w= 260 ; h= 382
w= 229 ; h= 141
w= 259 ; h= 371
w= 234 ; h= 141
w= 263 ; h= 370
w= 229 ; h= 143
w= 261 ; h= 370
w= 234 ; h= 143
w= 264 ; h= 370
w= 234 ; h= 138
w= 270 ; h= 373
w= 232 ; h= 140
w= 271 ; h= 375
w= 241 ; h= 142
w= 276 ; h= 376
w= 240 ; h= 144
w= 279 ; h= 380
w= 240 ; h= 143
w= 281 ; h= 389
w= 230 ; h= 140
w= 266 ; h= 381
w= 239 ; h= 144
w= 273 ; h= 385
w= 242 ; h= 143
w= 277 ; h= 368
w= 245 ; h= 148
w= 277 ; h= 373
w= 229 ; h= 134
w= 218 ; h= 132
w= 236 ; h= 145
w= 223 ; h= 137
w= 234 ; h= 150
w= 232 ; h= 150
w= 266 ; h= 385
w= 235 ; h= 145
w= 270 ; h= 370
w= 223 ; h= 140
w= 235 ; h= 143
w= 217 ; h= 373
w= 217 ; h= 370
w= 213 ; h= 368
w= 209 ; h= 367
w= 229 ; h= 386
w= 230 ; h= 386
w= 219 ; h= 359
w= 221 ; h= 361
w= 226 ; h= 366
w= 220 ; h= 355
w= 226 ; h= 367
w= 219 ; h= 357
w= 218 ; h= 359
w= 225 ; h= 372
w= 222 ; h= 366
w= 220 ; h= 367
w= 220 ; h= 365
w= 226 ; h= 373
w= 233 ; h= 337
w= 234 ; h= 341
w= 223 ; h= 333
w= 225 ; h= 340
w= 235 ; h= 341
w= 235 ; h= 341
w= 236 ; h= 342
w= 230 ; h= 336
w= 232 ; h= 339
w= 233 ; h= 346
w= 233 ; h= 342
w= 229 ; h= 344
w= 231 ; h= 339
w= 242 ; h= 338
w= 239 ; h= 343
w= 247 ; h= 355
w= 242 ; h= 355
w= 245 ; h= 363
w= 249 ; h= 362
w= 246 ; h= 358
w= 244 ; h= 348
w= 243 ; h= 333
w= 251 ; h= 347
w= 259 ; h= 364
w= 269 ; h= 371
w= 257 ; h= 372
w= 229 ; h= 131
w= 266 ; h= 375
w= 221 ; h= 135
w= 280 ; h= 382
w= 253 ; h= 375
w= 250 ; h= 373
w= 269 ; h= 383
w= 251 ; h= 372
w= 245 ; h= 378
w= 238 ; h= 367
w= 255 ; h= 379
w= 248 ; h= 377
w= 250 ; h= 376
w= 242 ; h= 366
w= 245 ; h= 373
w= 254 ; h= 374
w= 246 ; h= 371
w= 257 ; h= 379
w= 244 ; h= 424
w= 257 ; h= 440
w= 257 ; h= 437
w= 247 ; h= 391
w= 241 ; h= 399
w= 231 ; h= 393
w= 247 ; h= 391
w= 238 ; h= 397
w= 232 ; h= 393
w= 245 ; h= 389
w= 252 ; h= 393
w= 245 ; h= 387
w= 262 ; h= 408
w= 268 ; h= 415
w= 266 ; h= 413
w= 266 ; h= 415
