w= 227 ; h= 370
w= 228 ; h= 371
w= 228 ; h= 373
w= 232 ; h= 376
w= 226 ; h= 372
w= 234 ; h= 374
w= 226 ; h= 370
w= 224 ; h= 369
w= 229 ; h= 376
w= 226 ; h= 369
w= 229 ; h= 374
w= 221 ; h= 370
w= 222 ; h= 364
w= 218 ; h= 361
w= 212 ; h= 360
w= 212 ; h= 360
w= 216 ; h= 378
w= 210 ; h= 391
w= 205 ; h= 351
w= 210 ; h= 382
w= 211 ; h= 374
w= 208 ; h= 354
w= 210 ; h= 368
w= 212 ; h= 370
w= 199 ; h= 385
w= 204 ; h= 381
w= 201 ; h= 382
w= 212 ; h= 369
w= 209 ; h= 371
w= 209 ; h= 366
w= 206 ; h= 344
w= 314 ; h= 163
w= 245 ; h= 385
w= 323 ; h= 166
w= 250 ; h= 392
w= 309 ; h= 159
w= 312 ; h= 163
w= 244 ; h= 388
w= 316 ; h= 157
w= 245 ; h= 375
w= 245 ; h= 375
w= 245 ; h= 375
w= 247 ; h= 384
w= 246 ; h= 386
w= 242 ; h= 382
w= 233 ; h= 380
w= 243 ; h= 377
w= 288 ; h= 142
w= 292 ; h= 145
w= 291 ; h= 145
w= 225 ; h= 358
w= 298 ; h= 142
w= 223 ; h= 357
w= 285 ; h= 143
w= 238 ; h= 374
w= 232 ; h= 366
w= 232 ; h= 357
w= 225 ; h= 351
w= 244 ; h= 127
w= 238 ; h= 122
w= 223 ; h= 379
w= 227 ; h= 379
w= 231 ; h= 400
w= 222 ; h= 385
w= 223 ; h= 394
w= 224 ; h= 403
w= 221 ; h= 397
w= 225 ; h= 338
w= 225 ; h= 334
w= 214 ; h= 323
w= 226 ; h= 338
w= 234 ; h= 346
w= 234 ; h= 346
w= 234 ; h= 346
w= 209 ; h= 328
w= 206 ; h= 324
w= 201 ; h= 318
w= 211 ; h= 332
w= 203 ; h= 315
w= 209 ; h= 334
w= 212 ; h= 340
w= 197 ; h= 320
w= 207 ; h= 328
w= 204 ; h= 319
w= 211 ; h= 322
w= 198 ; h= 312
w= 244 ; h= 346
w= 147 ; h= 207
w= 250 ; h= 348
w= 158 ; h= 222
w= 244 ; h= 354
w= 149 ; h= 223
w= 160 ; h= 221
w= 255 ; h= 357
w= 238 ; h= 358
w= 148 ; h= 213
w= 146 ; h= 221
w= 146 ; h= 224
w= 238 ; h= 351
w= 159 ; h= 217
w= 171 ; h= 220
w= 174 ; h= 222
w= 168 ; h= 221
w= 182 ; h= 221
w= 181 ; h= 222
w= 258 ; h= 365
w= 186 ; h= 195
w= 177 ; h= 199
w= 171 ; h= 185
w= 193 ; h= 195
w= 192 ; h= 191
w= 190 ; h= 192
w= 190 ; h= 190
w= 197 ; h= 198
w= 205 ; h= 210
w= 204 ; h= 197
w= 206 ; h= 198
w= 247 ; h= 368
w= 191 ; h= 185
w= 206 ; h= 202
w= 190 ; h= 191
w= 242 ; h= 361
w= 242 ; h= 362
w= 238 ; h= 356
w= 239 ; h= 361
w= 234 ; h= 355
w= 234 ; h= 355
w= 239 ; h= 355
w= 235 ; h= 354
w= 239 ; h= 354
w= 235 ; h= 356
w= 235 ; h= 355
w= 235 ; h= 359
w= 238 ; h= 359
w= 237 ; h= 354
w= 235 ; h= 361
w= 239 ; h= 357
w= 241 ; h= 359
w= 239 ; h= 364
w= 241 ; h= 379
w= 238 ; h= 375
w= 237 ; h= 366
w= 237 ; h= 372
w= 241 ; h= 369
w= 237 ; h= 365
w= 233 ; h= 370
w= 237 ; h= 362
w= 234 ; h= 357
w= 243 ; h= 361
w= 245 ; h= 364
w= 247 ; h= 358
w= 247 ; h= 363
w= 242 ; h= 362
w= 233 ; h= 357
w= 245 ; h= 366
w= 245 ; h= 362
w= 245 ; h= 366
w= 247 ; h= 367
w= 248 ; h= 362
w= 247 ; h= 363
w= 249 ; h= 362
w= 243 ; h= 358
w= 242 ; h= 360
w= 240 ; h= 364
w= 245 ; h= 399
w= 249 ; h= 406
w= 237 ; h= 400
w= 239 ; h= 386
w= 249 ; h= 392
w= 238 ; h= 401
w= 236 ; h= 410
w= 235 ; h= 397
w= 233 ; h= 388
w= 233 ; h= 399
w= 236 ; h= 384
w= 225 ; h= 376
w= 225 ; h= 369
w= 221 ; h= 362
w= 195 ; h= 338
w= 200 ; h= 339
w= 203 ; h= 340
w= 192 ; h= 324
w= 198 ; h= 326
w= 198 ; h= 326
w= 198 ; h= 326
w= 204 ; h= 329
w= 204 ; h= 329
w= 201 ; h= 342
w= 205 ; h= 358
w= 217 ; h= 360
w= 207 ; h= 353
w= 214 ; h= 369
w= 212 ; h= 345
w= 224 ; h= 382
w= 208 ; h= 354
w= 226 ; h= 369
w= 222 ; h= 355
w= 213 ; h= 356
w= 217 ; h= 359
w= 213 ; h= 352
w= 205 ; h= 343
w= 222 ; h= 362
w= 214 ; h= 349
w= 212 ; h= 340
w= 199 ; h= 336
w= 200 ; h= 340
w= 217 ; h= 355
w= 201 ; h= 334
w= 205 ; h= 345
w= 206 ; h= 333
w= 205 ; h= 376
w= 212 ; h= 379
w= 217 ; h= 387
w= 224 ; h= 402
w= 226 ; h= 408
w= 225 ; h= 406
w= 204 ; h= 370
w= 208 ; h= 364
w= 205 ; h= 362
w= 213 ; h= 372
w= 208 ; h= 372
w= 205 ; h= 371
w= 200 ; h= 355
w= 201 ; h= 358
w= 207 ; h= 363
w= 207 ; h= 361
w= 207 ; h= 361
w= 208 ; h= 361
w= 207 ; h= 360
