w= 218 ; h= 334
w= 218 ; h= 334
w= 218 ; h= 334
w= 196 ; h= 299
w= 205 ; h= 300
w= 215 ; h= 317
w= 213 ; h= 318
w= 228 ; h= 335
w= 226 ; h= 328
w= 221 ; h= 318
w= 217 ; h= 313
w= 213 ; h= 317
w= 229 ; h= 333
w= 217 ; h= 324
w= 209 ; h= 315
w= 203 ; h= 296
w= 205 ; h= 308
w= 208 ; h= 308
w= 203 ; h= 303
w= 206 ; h= 301
w= 197 ; h= 303
w= 208 ; h= 317
w= 216 ; h= 318
w= 210 ; h= 313
w= 214 ; h= 321
w= 220 ; h= 319
w= 212 ; h= 308
w= 234 ; h= 363
w= 226 ; h= 370
w= 235 ; h= 379
w= 224 ; h= 362
w= 222 ; h= 363
w= 224 ; h= 363
w= 233 ; h= 371
w= 229 ; h= 367
w= 231 ; h= 367
w= 224 ; h= 360
w= 220 ; h= 354
w= 222 ; h= 348
w= 221 ; h= 351
w= 223 ; h= 356
w= 221 ; h= 348
w= 221 ; h= 353
w= 216 ; h= 347
w= 211 ; h= 341
w= 209 ; h= 338
w= 220 ; h= 348
w= 219 ; h= 349
w= 235 ; h= 375
w= 321 ; h= 213
w= 239 ; h= 379
w= 240 ; h= 368
w= 234 ; h= 370
w= 322 ; h= 220
w= 240 ; h= 369
w= 239 ; h= 368
w= 239 ; h= 368
w= 326 ; h= 214
w= 238 ; h= 360
w= 322 ; h= 213
w= 238 ; h= 358
w= 316 ; h= 208
w= 233 ; h= 351
w= 234 ; h= 354
w= 317 ; h= 208
w= 234 ; h= 350
w= 321 ; h= 207
w= 321 ; h= 208
w= 235 ; h= 352
w= 321 ; h= 210
w= 234 ; h= 366
w= 240 ; h= 375
w= 322 ; h= 213
w= 239 ; h= 379
w= 321 ; h= 212
w= 241 ; h= 371
w= 326 ; h= 214
w= 245 ; h= 376
w= 328 ; h= 219
w= 326 ; h= 215
w= 240 ; h= 370
w= 238 ; h= 373
w= 325 ; h= 216
w= 325 ; h= 215
w= 239 ; h= 364
w= 325 ; h= 215
w= 238 ; h= 368
w= 232 ; h= 362
w= 323 ; h= 212
w= 232 ; h= 358
w= 324 ; h= 212
w= 231 ; h= 366
w= 323 ; h= 213
w= 234 ; h= 367
w= 234 ; h= 363
w= 234 ; h= 371
w= 230 ; h= 365
w= 237 ; h= 374
w= 236 ; h= 367
w= 237 ; h= 373
w= 327 ; h= 220
w= 268 ; h= 413
w= 252 ; h= 354
w= 224 ; h= 323
w= 249 ; h= 349
w= 255 ; h= 352
w= 232 ; h= 334
w= 233 ; h= 335
w= 252 ; h= 377
w= 256 ; h= 388
w= 254 ; h= 380
w= 238 ; h= 372
w= 237 ; h= 364
w= 240 ; h= 367
w= 242 ; h= 343
w= 243 ; h= 370
w= 237 ; h= 352
w= 232 ; h= 345
w= 229 ; h= 348
w= 233 ; h= 351
w= 229 ; h= 354
w= 229 ; h= 349
w= 228 ; h= 357
w= 228 ; h= 352
w= 226 ; h= 351
w= 228 ; h= 349
w= 223 ; h= 354
w= 225 ; h= 356
w= 229 ; h= 350
w= 238 ; h= 367
w= 234 ; h= 366
w= 238 ; h= 361
w= 239 ; h= 359
w= 232 ; h= 354
w= 234 ; h= 350
w= 238 ; h= 351
w= 240 ; h= 352
w= 244 ; h= 348
w= 250 ; h= 354
w= 242 ; h= 353
w= 241 ; h= 352
w= 237 ; h= 349
w= 237 ; h= 354
w= 243 ; h= 354
w= 234 ; h= 359
w= 229 ; h= 354
w= 230 ; h= 353
w= 236 ; h= 360
w= 236 ; h= 360
w= 242 ; h= 359
w= 221 ; h= 361
w= 208 ; h= 343
w= 219 ; h= 357
w= 219 ; h= 357
w= 219 ; h= 357
w= 227 ; h= 350
w= 229 ; h= 347
w= 208 ; h= 334
w= 208 ; h= 326
w= 208 ; h= 329
w= 217 ; h= 332
w= 232 ; h= 356
w= 221 ; h= 350
w= 221 ; h= 347
w= 228 ; h= 348
w= 243 ; h= 353
w= 238 ; h= 350
w= 226 ; h= 347
w= 231 ; h= 349
w= 237 ; h= 355
w= 234 ; h= 350
w= 236 ; h= 350
w= 247 ; h= 359
w= 246 ; h= 356
w= 240 ; h= 355
w= 225 ; h= 350
w= 225 ; h= 336
w= 250 ; h= 363
w= 253 ; h= 360
w= 270 ; h= 373
w= 248 ; h= 386
w= 247 ; h= 386
w= 247 ; h= 386
w= 269 ; h= 409
w= 239 ; h= 374
w= 237 ; h= 374
w= 237 ; h= 375
w= 251 ; h= 375
w= 251 ; h= 375
w= 259 ; h= 383
w= 252 ; h= 374
w= 254 ; h= 380
w= 239 ; h= 379
w= 249 ; h= 392
w= 249 ; h= 400
w= 245 ; h= 390
w= 244 ; h= 388
w= 248 ; h= 391
w= 238 ; h= 383
w= 238 ; h= 385
w= 243 ; h= 384
w= 245 ; h= 383
w= 246 ; h= 378
w= 245 ; h= 385
w= 244 ; h= 388
w= 241 ; h= 388
w= 247 ; h= 392
w= 243 ; h= 373
w= 249 ; h= 397
w= 245 ; h= 404
w= 249 ; h= 407
w= 250 ; h= 417
w= 247 ; h= 413
w= 250 ; h= 417
w= 250 ; h= 417
