w= 236 ; h= 378
w= 239 ; h= 385
w= 239 ; h= 380
w= 231 ; h= 368
w= 231 ; h= 365
w= 232 ; h= 370
w= 235 ; h= 369
w= 233 ; h= 367
w= 238 ; h= 368
w= 236 ; h= 381
w= 237 ; h= 375
w= 238 ; h= 368
w= 233 ; h= 363
w= 240 ; h= 374
w= 226 ; h= 360
w= 229 ; h= 381
w= 232 ; h= 376
w= 233 ; h= 370
w= 234 ; h= 372
w= 226 ; h= 372
w= 231 ; h= 375
w= 224 ; h= 372
w= 231 ; h= 376
w= 232 ; h= 374
w= 230 ; h= 370
w= 231 ; h= 374
w= 221 ; h= 361
w= 223 ; h= 369
w= 226 ; h= 371
w= 224 ; h= 369
w= 216 ; h= 355
w= 291 ; h= 244
w= 289 ; h= 240
w= 286 ; h= 232
w= 291 ; h= 236
w= 291 ; h= 242
w= 302 ; h= 243
w= 242 ; h= 399
w= 298 ; h= 245
w= 238 ; h= 401
w= 298 ; h= 251
w= 241 ; h= 406
w= 300 ; h= 250
w= 243 ; h= 411
w= 295 ; h= 249
w= 295 ; h= 240
w= 237 ; h= 407
w= 301 ; h= 250
w= 257 ; h= 428
w= 319 ; h= 261
w= 315 ; h= 254
w= 289 ; h= 233
w= 290 ; h= 231
w= 292 ; h= 251
w= 291 ; h= 246
w= 226 ; h= 428
w= 294 ; h= 266
w= 281 ; h= 234
w= 284 ; h= 235
w= 222 ; h= 378
w= 282 ; h= 237
w= 291 ; h= 249
w= 236 ; h= 389
w= 322 ; h= 268
w= 269 ; h= 406
w= 317 ; h= 268
w= 264 ; h= 408
w= 271 ; h= 432
w= 325 ; h= 276
w= 322 ; h= 275
w= 268 ; h= 440
w= 216 ; h= 372
w= 221 ; h= 373
w= 223 ; h= 373
w= 218 ; h= 373
w= 216 ; h= 357
w= 215 ; h= 359
w= 212 ; h= 356
w= 215 ; h= 351
w= 216 ; h= 355
w= 223 ; h= 368
w= 230 ; h= 378
w= 222 ; h= 369
w= 226 ; h= 370
w= 227 ; h= 360
w= 231 ; h= 365
w= 183 ; h= 371
w= 183 ; h= 380
w= 240 ; h= 358
w= 242 ; h= 377
w= 242 ; h= 373
w= 243 ; h= 371
w= 241 ; h= 372
w= 241 ; h= 387
w= 237 ; h= 373
w= 213 ; h= 349
w= 229 ; h= 383
w= 234 ; h= 394
w= 208 ; h= 374
w= 210 ; h= 373
w= 206 ; h= 372
w= 203 ; h= 357
w= 204 ; h= 359
w= 204 ; h= 359
w= 204 ; h= 359
w= 208 ; h= 356
w= 208 ; h= 356
w= 208 ; h= 350
w= 212 ; h= 357
w= 208 ; h= 351
w= 207 ; h= 360
w= 207 ; h= 365
w= 211 ; h= 360
w= 211 ; h= 356
w= 206 ; h= 353
w= 211 ; h= 345
w= 213 ; h= 342
w= 207 ; h= 345
w= 210 ; h= 346
