w= 222 ; h= 338
w= 220 ; h= 336
w= 219 ; h= 348
w= 237 ; h= 353
w= 235 ; h= 353
w= 232 ; h= 350
w= 232 ; h= 344
w= 223 ; h= 342
w= 227 ; h= 342
w= 231 ; h= 340
w= 239 ; h= 352
w= 225 ; h= 341
w= 224 ; h= 337
w= 270 ; h= 393
w= 266 ; h= 386
w= 257 ; h= 402
w= 259 ; h= 398
w= 257 ; h= 390
w= 258 ; h= 390
w= 261 ; h= 394
w= 258 ; h= 389
w= 257 ; h= 384
w= 260 ; h= 398
w= 259 ; h= 394
w= 258 ; h= 389
w= 258 ; h= 391
w= 252 ; h= 388
w= 256 ; h= 397
w= 254 ; h= 406
w= 263 ; h= 412
w= 258 ; h= 412
w= 254 ; h= 401
w= 250 ; h= 383
w= 244 ; h= 384
w= 244 ; h= 388
w= 245 ; h= 394
w= 229 ; h= 385
w= 232 ; h= 371
w= 227 ; h= 363
w= 226 ; h= 362
w= 222 ; h= 368
w= 227 ; h= 373
w= 239 ; h= 378
w= 243 ; h= 379
w= 243 ; h= 388
w= 223 ; h= 368
w= 203 ; h= 340
w= 213 ; h= 344
w= 211 ; h= 329
w= 210 ; h= 330
w= 215 ; h= 327
w= 216 ; h= 330
w= 211 ; h= 335
w= 211 ; h= 334
w= 210 ; h= 335
w= 205 ; h= 332
w= 206 ; h= 329
w= 208 ; h= 335
w= 204 ; h= 327
w= 215 ; h= 343
w= 215 ; h= 338
w= 207 ; h= 341
w= 212 ; h= 342
w= 208 ; h= 340
w= 229 ; h= 335
w= 210 ; h= 348
w= 204 ; h= 326
w= 207 ; h= 340
w= 216 ; h= 351
w= 217 ; h= 336
w= 202 ; h= 334
w= 211 ; h= 330
w= 211 ; h= 345
w= 223 ; h= 345
w= 228 ; h= 345
w= 220 ; h= 345
w= 226 ; h= 347
w= 249 ; h= 370
w= 221 ; h= 356
w= 243 ; h= 373
w= 222 ; h= 378
w= 225 ; h= 406
w= 240 ; h= 424
w= 259 ; h= 437
w= 234 ; h= 416
w= 236 ; h= 432
w= 244 ; h= 424
w= 255 ; h= 429
w= 264 ; h= 417
w= 267 ; h= 421
w= 273 ; h= 413
w= 151 ; h= 99
w= 163 ; h= 104
w= 177 ; h= 130
w= 165 ; h= 122
w= 165 ; h= 122
w= 165 ; h= 122
w= 168 ; h= 104
w= 168 ; h= 104
w= 160 ; h= 104
w= 156 ; h= 100
w= 155 ; h= 103
w= 155 ; h= 105
w= 158 ; h= 109
w= 154 ; h= 107
w= 160 ; h= 122
w= 237 ; h= 172
w= 164 ; h= 129
w= 163 ; h= 125
w= 236 ; h= 168
w= 234 ; h= 168
w= 164 ; h= 123
w= 227 ; h= 148
w= 158 ; h= 105
w= 158 ; h= 97
w= 228 ; h= 161
w= 157 ; h= 117
w= 233 ; h= 163
w= 166 ; h= 118
w= 161 ; h= 124
w= 249 ; h= 380
w= 235 ; h= 165
w= 164 ; h= 124
w= 226 ; h= 151
w= 240 ; h= 358
w= 158 ; h= 106
w= 222 ; h= 147
w= 152 ; h= 104
w= 216 ; h= 346
w= 221 ; h= 338
w= 143 ; h= 93
w= 218 ; h= 141
w= 223 ; h= 343
w= 149 ; h= 97
w= 217 ; h= 342
w= 143 ; h= 95
w= 235 ; h= 344
w= 156 ; h= 98
w= 229 ; h= 347
w= 149 ; h= 95
w= 259 ; h= 402
w= 230 ; h= 351
w= 229 ; h= 355
w= 230 ; h= 353
w= 234 ; h= 355
w= 221 ; h= 352
w= 230 ; h= 382
