,startx,endx,starty,endy,naive,vectorized,multiprocessing
0,40,106,111,53,1.563738739,1.563738739,1.563738739
1,42,107,116,54,1.506568144,1.506568144,1.506568144
2,38,103,113,52,1.585351653,1.585351653,1.585351653
3,41,107,115,54,1.539660657,1.539660657,1.539660657
4,39,106,114,53,1.591430499,1.591430499,1.591430499
5,41,108,113,54,1.556011224,1.556011224,1.556011224
6,44,112,116,56,1.514106583,1.514106583,1.514106583
7,38,109,112,54,1.675281955,1.675281955,1.675281955
8,42,111,114,56,1.567042607,1.567042607,1.567042607
9,43,108,114,54,1.492656059,1.492656059,1.492656059
10,44,108,117,54,1.458041958,1.458041958,1.458041958
11,41,109,117,55,1.564311028,1.564311028,1.564311028
12,41,107,117,53,1.531373775,1.531373775,1.531373775
13,47,112,118,56,1.428777497,1.428777497,1.428777497
14,40,109,115,55,1.601630435,1.601630435,1.601630435
15,41,107,115,53,1.535312831,1.535312831,1.535312831
16,44,108,116,54,1.460031348,1.460031348,1.460031348
17,42,108,114,54,1.522556391,1.522556391,1.522556391
18,38,108,114,54,1.657894737,1.657894737,1.657894737
19,44,108,115,54,1.462055336,1.462055336,1.462055336
20,39,109,112,55,1.642971612,1.642971612,1.642971612
21,44,108,116,54,1.460031348,1.460031348,1.460031348
22,41,109,116,54,1.562026913,1.562026913,1.562026913
23,45,108,118,54,1.428813559,1.428813559,1.428813559
24,39,111,118,55,1.656127771,1.656127771,1.656127771
25,38,104,112,52,1.60056391,1.60056391,1.60056391
26,38,107,111,54,1.65113798,1.65113798,1.65113798
27,42,110,115,55,1.548654244,1.548654244,1.548654244
28,40,110,113,55,1.618362832,1.618362832,1.618362832
29,40,111,114,55,1.62872807,1.62872807,1.62872807
30,38,106,112,53,1.631343985,1.631343985,1.631343985
31,38,110,111,55,1.695116169,1.695116169,1.695116169
32,39,109,110,54,1.642890443,1.642890443,1.642890443
33,38,108,111,54,1.664295875,1.664295875,1.664295875
34,36,110,111,55,1.775525526,1.775525526,1.775525526
35,43,110,113,55,1.522432599,1.522432599,1.522432599
36,41,111,118,55,1.586709384,1.586709384,1.586709384
37,42,105,116,52,1.474137931,1.474137931,1.474137931
38,41,106,114,53,1.525139067,1.525139067,1.525139067
39,41,107,115,54,1.539660657,1.539660657,1.539660657
40,42,105,117,53,1.476495726,1.476495726,1.476495726
41,41,105,113,52,1.5105763,1.5105763,1.5105763
42,45,109,119,54,1.438001867,1.438001867,1.438001867
43,39,109,113,55,1.640798729,1.640798729,1.640798729
44,39,107,114,54,1.608636977,1.608636977,1.608636977
45,42,106,113,53,1.496418036,1.496418036,1.496418036
46,41,109,113,55,1.572631125,1.572631125,1.572631125
47,39,104,113,52,1.563421829,1.563421829,1.563421829
48,40,108,114,54,1.586842105,1.586842105,1.586842105
49,44,103,113,52,1.400543041,1.400543041,1.400543041
50,36,105,113,53,1.692846608,1.692846608,1.692846608
51,43,109,115,54,1.502224469,1.502224469,1.502224469
52,38,106,113,53,1.629250116,1.629250116,1.629250116
53,42,109,116,54,1.530377668,1.530377668,1.530377668
54,42,105,114,52,1.478070175,1.478070175,1.478070175
55,42,108,113,54,1.524652339,1.524652339,1.524652339
56,43,105,116,53,1.449378508,1.449378508,1.449378508
57,43,110,116,55,1.516138733,1.516138733,1.516138733
58,44,111,117,56,1.500679876,1.500679876,1.500679876
59,47,110,120,55,1.399379433,1.399379433,1.399379433
60,40,110,113,55,1.618362832,1.618362832,1.618362832
61,44,111,114,55,1.502591707,1.502591707,1.502591707
62,51,110,120,55,1.307598039,1.307598039,1.307598039
63,41,111,117,55,1.588701272,1.588701272,1.588701272
64,42,111,116,55,1.558497537,1.558497537,1.558497537
65,51,107,123,53,1.264466762,1.264466762,1.264466762
66,47,114,120,57,1.450265957,1.450265957,1.450265957
67,49,116,118,58,1.429436181,1.429436181,1.429436181
68,49,108,118,54,1.330854376,1.330854376,1.330854376
69,46,111,117,56,1.445837978,1.445837978,1.445837978
70,44,107,117,54,1.446678322,1.446678322,1.446678322
71,44,109,118,55,1.471687211,1.471687211,1.471687211
72,45,111,114,55,1.474561404,1.474561404,1.474561404
73,46,109,120,54,1.409782609,1.409782609,1.409782609
74,49,107,122,53,1.309049849,1.309049849,1.309049849
75,46,112,118,56,1.45467944,1.45467944,1.45467944
76,45,107,117,54,1.41965812,1.41965812,1.41965812
77,47,106,121,53,1.346667839,1.346667839,1.346667839
78,45,107,119,53,1.411577965,1.411577965,1.411577965
79,45,107,116,53,1.417337165,1.417337165,1.417337165
80,45,109,115,55,1.450241546,1.450241546,1.450241546
81,46,106,119,53,1.374862989,1.374862989,1.374862989
82,43,109,117,55,1.502484596,1.502484596,1.502484596
83,45,106,119,53,1.400466853,1.400466853,1.400466853
84,43,109,116,55,1.504510826,1.504510826,1.504510826
85,43,107,115,54,1.478968655,1.478968655,1.478968655
86,46,105,117,52,1.36352657,1.36352657,1.36352657
87,45,109,115,55,1.450241546,1.450241546,1.450241546
88,45,106,118,53,1.402354049,1.402354049,1.402354049
89,43,110,117,55,1.514112502,1.514112502,1.514112502
90,48,109,119,54,1.362307423,1.362307423,1.362307423
91,42,108,118,54,1.514527845,1.514527845,1.514527845
92,43,107,118,53,1.468762318,1.468762318,1.468762318
93,41,110,115,55,1.580593849,1.580593849,1.580593849
94,40,109,112,54,1.603571429,1.603571429,1.603571429
95,45,105,116,53,1.395114943,1.395114943,1.395114943
96,39,111,110,55,1.673076923,1.673076923,1.673076923
97,46,111,113,56,1.45430935,1.45430935,1.45430935
98,49,106,118,53,1.306208924,1.306208924,1.306208924
99,42,104,113,52,1.468183734,1.468183734,1.468183734
100,43,103,116,52,1.42181235,1.42181235,1.42181235
101,45,105,117,53,1.393162393,1.393162393,1.393162393
102,46,107,117,54,1.393812709,1.393812709,1.393812709
103,46,106,118,53,1.376750184,1.376750184,1.376750184
104,46,109,116,55,1.421851574,1.421851574,1.421851574
