,smile_ratio,startx,endx,starty,endy
0,0.255,283,77,160,38
1,1.069,124,217,279,108
2,1.123,116,216,282,108
3,1.122,121,223,277,111
4,0.274,258,77,152,38
5,1.323,98,219,267,110
6,0.265,282,78,154,39
7,1.081,123,217,272,108
8,1.087,125,222,279,111
9,1.163,116,223,277,112
10,1.216,109,221,272,110
11,1.264,104,220,267,110
12,1.329,97,218,266,109
13,1.232,106,218,268,109
14,1.253,102,214,262,107
15,1.17,109,212,269,106
16,1.265,101,215,266,107
17,1.364,93,215,260,108
18,1.172,110,214,268,107
19,0.273,258,75,145,37
20,1.336,95,215,262,107
21,1.193,109,216,267,108
22,1.343,96,218,263,109
23,1.184,105,208,269,104
24,1.21,104,211,268,105
25,1.285,100,216,264,108
26,1.34,100,225,263,113
27,1.21,106,214,267,107
28,1.228,105,216,271,108
29,1.267,107,226,268,113
30,1.222,105,215,270,107
31,1.233,108,222,270,111
32,1.165,112,217,275,108
33,1.103,118,215,279,107
34,1.234,105,217,271,109
35,1.282,102,220,270,110
36,1.253,105,220,268,110
37,1.309,99,218,262,109
38,1.26,101,214,267,107
39,1.309,98,217,268,108
40,1.24,101,211,268,105
41,1.307,100,220,266,110
42,1.297,99,217,268,108
43,1.294,98,214,264,107
44,1.214,107,217,273,109
45,1.224,105,215,270,108
46,1.332,100,225,270,112
47,1.314,96,214,268,107
48,1.281,102,220,272,110
49,1.304,102,223,263,111
50,1.23,102,211,268,105
51,1.283,101,218,267,109
52,1.245,106,220,266,110
53,1.194,109,216,266,108
54,1.201,114,226,269,113
55,1.169,114,220,270,110
56,1.074,121,213,276,107
57,1.109,117,215,281,107
58,1.072,126,220,276,110
59,1.005,134,218,285,109
60,1.001,129,210,281,105
61,1.18,114,222,269,111
62,1.198,110,219,269,109
63,1.082,120,213,275,107
64,1.131,115,214,267,107
65,1.166,113,218,271,109
66,1.281,109,232,267,116
67,1.161,110,212,268,106
68,1.4,91,217,260,108
69,1.432,92,224,261,112
70,1.352,96,220,267,110
71,1.103,118,215,279,107
72,1.167,113,218,269,109
